SignalDate,NextDate,GrossReturn,NetReturn,Turnover,NAV,Holdings_x,LossFlag,Holdings_y,Top1Weight,Top3Weight,AvgMomentumScore,AvgFlowScore
2025-01-31,2025-02-28,-0.027346678278776945,-0.028346678278776946,1.0,2.963464462518365,8,1,8,0.125,0.375,0.11665948978167873,0.27951167137739785
2025-02-28,2025-03-31,-0.011408484489251164,-0.013408484489251164,2.0,2.9237288952382405,4,1,4,0.25,0.75,0.15483840376979646,0.17957606631201561
2025-03-31,2025-04-30,-0.029566504725947258,-0.031233171392613925,1.6666666666666665,2.8324115695477268,6,1,6,0.16666666666666666,0.5,0.046397413206296305,0.13590010246889775
2025-04-30,2025-05-30,0.11475553421415684,0.1134222008808235,1.3333333333333333,3.1536699235661376,6,0,6,0.16666666666666666,0.5,0.10630690430145762,0.13220326124558568
2025-05-30,2025-06-30,0.06621498486134043,0.06521498486134043,1.0,3.3593364598891675,6,0,6,0.16666666666666666,0.5,0.13964993645802448,0.194093717596776
2025-06-30,2025-07-31,0.0871049446566025,0.08624780179945964,0.8571428571428571,3.649071845059387,7,0,7,0.14285714285714285,0.42857142857142855,0.138682458588343,0.2496075807001981
2025-07-31,2025-08-29,-0.029409257186353194,-0.030298146075242085,0.8888888888888888,3.5385117332587246,9,1,9,0.1111111111111111,0.3333333333333333,0.13894038941949954,0.3213080927891591
2025-08-29,2025-09-30,0.0632890321824236,0.06306680996020138,0.2222222222222222,3.7616743802820953,9,0,9,0.1111111111111111,0.3333333333333333,0.09833343359985686,0.20542256153364535
2025-09-30,2025-10-31,0.13108856808656705,0.13019967919767816,0.888888888888889,4.251443177840949,9,0,9,0.1111111111111111,0.3333333333333333,0.1255946213470239,0.3743501836542167
2025-10-31,2025-11-28,-0.016011489193938536,-0.016233711416160757,0.2222222222222222,4.182426476189674,9,1,9,0.1111111111111111,0.3333333333333333,0.16110179031835353,0.44871773100258633
2025-11-28,2026-01-30,0.20421047570511072,0.20376603126066628,0.4444444444444444,5.034662920282377,9,0,9,0.1111111111111111,0.3333333333333333,0.1266369441379635,0.3719780934753858
2026-01-30,2026-02-27,0.13438336087821906,0.1326055831004413,1.7777777777777777,5.7022873325405925,9,0,9,0.1111111111111111,0.3333333333333333,0.09607168434115461,0.17998990424293873
