Market,WatchGrade,Count,R3MForward_Mean,R3MForward_Median,R3MForward_HitRate,R3MForward_P90,R6MForward_Mean,R6MForward_Median,R6MForward_HitRate,R6MForward_P90,R12MForward_Mean,R12MForward_Median,R12MForward_HitRate,R12MForward_P90
KR,Add-on,78,0.16127966611872802,0.03651421042725389,0.5370370370370371,0.6887218625921179,0.3011527629827681,0.1434977578475336,0.6274509803921569,1.4026622296173046,0.19046399832182334,0.009332022374352156,0.5263157894736842,1.0074328959780474
KR,Starter,179,0.05841379131813999,-0.020658126213488115,0.4714285714285714,0.4765852917341978,0.12728825757715623,-0.017745269996652546,0.4552238805970149,0.6548499664254875,0.2484365647483096,-0.04209246364939584,0.4915254237288136,0.9993846153846151
KR,Watch,44,0.019011019128313815,-0.05363321799307963,0.42424242424242425,0.29920669654759574,-0.015412022601412976,-0.04498269896193774,0.4,0.35687329933237183,0.16794693064253952,-0.06799336650082921,0.45161290322580644,0.833648393194707
US,Add-on,189,0.0401737127040004,0.021591711175580786,0.5581395348837209,0.19681553086201628,0.08327976789297678,0.049251382506098285,0.6387096774193548,0.2493849218812644,0.21961194396105999,0.10516635777188377,0.6460176991150443,0.5492841190404416
US,Starter,716,0.05528461011320447,0.0283238618648447,0.5876460767946577,0.23187602368481947,0.09201880387051548,0.05715425656116779,0.6356073211314476,0.3409496787034092,0.154038627695402,0.11274763332493132,0.615546218487395,0.535982419993953
US,Watch,1246,0.024971436289399428,0.010778017138310725,0.5485770363101079,0.17660178569451296,0.06613175979001022,0.041965513062355075,0.6183524504692388,0.30717032284652823,0.14482557911382996,0.09893210753697645,0.6522198731501057,0.5069105341041849
