SignalDate,NextDate,Market,AssetType,Symbol,Name,Sector,MomentumScore,FlowScore,MAD63,TargetWeight,NextMonthReturn,Contribution
2025-01-31,2025-02-28,US,STOCK,META,Meta,Communication Services,0.09098830417861796,0.2008404213879746,0.01084232414039854,0.125,-0.03044191648510486,-0.0038052395606381073
2025-01-31,2025-02-28,KR,ETF,360750,360750,ETF,0.03792789530357739,,0.004542485311153532,0.125,-0.040754202635165826,-0.005094275329395728
2025-01-31,2025-02-28,KR,ETF,379800,379800,ETF,0.04047788363059214,,0.0043984769756238995,0.125,-0.04618046971569845,-0.005772558714462306
2025-01-31,2025-02-28,US,STOCK,COF,Capital One,Financials,0.07767437336606248,0.1815588924463832,0.010768958433336584,0.125,-0.01258158620386629,-0.0015726982754832863
2025-01-31,2025-02-28,US,STOCK,NFLX,Netflix,Communication Services,0.10405582713556097,0.28273254007078663,0.010042981204555046,0.125,0.0038903849838498594,0.00048629812298123243
2025-01-31,2025-02-28,US,STOCK,AVGO,Broadcom,Information Technology,0.08650294304154107,0.12764138316588428,0.016626192331453016,0.125,-0.09870305292051762,-0.012337881615064702
2025-01-31,2025-02-28,US,STOCK,PLTR,Palantir Technologies,Information Technology,0.4175996685616714,0.7259125359076861,0.024256744126924246,0.125,0.029458120597710247,0.003682265074713781
2025-01-31,2025-02-28,US,STOCK,GS,Goldman Sachs,Financials,0.07804902303580635,0.15838425528567232,0.008359563061847153,0.125,-0.023460703851422626,-0.0029325879814278283
2025-02-28,2025-03-31,KR,STOCK,003230,삼양식품,Consumer Staples,0.30560436566260885,0.06511053994257433,0.014780112001830492,0.25,0.0,0.0
2025-02-28,2025-03-31,US,STOCK,FOX,21st Century Fox,,0.10787462734644701,0.21003268208127776,0.008382666870898947,0.25,-0.02012375858942006,-0.005030939647355015
2025-02-28,2025-03-31,US,STOCK,FOXA,21st Century Fox,,0.10574616065745358,0.20811579298411687,0.008290986322534,0.25,-0.012619179214890974,-0.0031547948037227436
2025-02-28,2025-03-31,US,STOCK,GILD,Gilead,Health Care,0.10012846141267635,0.23504525024009348,0.009056611726373065,0.25,-0.012891000152693621,-0.0032227500381734053
2025-03-31,2025-04-30,US,STOCK,BRK.B,Berkshire Hathaway,Financials,0.04064790072479728,0.12111560668699958,0.006901188014356574,0.16666666666666666,0.0012579948339352942,0.00020966580565588236
2025-03-31,2025-04-30,US,STOCK,AIG,AIG,Financials,0.038782876912215346,0.1599090840852574,0.007406935927533498,0.16666666666666666,-0.06234190654371308,-0.010390317757285512
2025-03-31,2025-04-30,US,STOCK,RTX,RTX Corporation,Industrials,0.03799237961156782,0.07036704010707709,0.009044546376271723,0.16666666666666666,-0.04778809182653143,-0.007964681971088572
2025-03-31,2025-04-30,US,STOCK,V,Visa,Financials,0.040717263631796105,0.12704719744980528,0.006739870123383729,0.16666666666666666,-0.014153008369649278,-0.0023588347282748794
2025-03-31,2025-04-30,US,STOCK,GILD,Gilead,Health Care,0.0713785768149027,0.18916178206293205,0.009459731281880934,0.16666666666666666,-0.04917446088336208,-0.008195743480560347
2025-03-31,2025-04-30,US,STOCK,CVS,CVS Health,Health Care,0.04886548154249856,0.14779990442131521,0.009744629640960012,0.16666666666666666,-0.005199555566362979,-0.0008665925943938297
2025-04-30,2025-05-30,US,STOCK,PLTR,Palantir Technologies,Information Technology,0.3925197947285459,0.5214111978820621,0.035536719821356755,0.16666666666666666,0.11263083470882318,0.018771805784803863
2025-04-30,2025-05-30,US,STOCK,GEV,GE Vernova,Industrials,0.10577086311637891,0.051299169864461924,0.029136768915105082,0.16666666666666666,0.2754975125403958,0.04591625209006596
2025-04-30,2025-05-30,US,STOCK,BRK.B,Berkshire Hathaway,Financials,0.039688320143050376,0.12476989309015141,0.0068810494049029725,0.16666666666666666,-0.054927348419919086,-0.009154558069986513
