SignalDate,PositionCount,Top1Weight,Top3Weight,AvgMomentumScore,AvgFlowScore
2025-01-31,8,0.125,0.375,0.11665948978167873,0.27951167137739785
2025-02-28,4,0.1875,0.5625,0.15483840376979646,0.17957606631201561
2025-03-31,6,0.16666666666666666,0.5,0.046397413206296305,0.13590010246889775
2025-04-30,6,0.16666666666666666,0.5,0.10630690430145762,0.13220326124558568
2025-05-30,6,0.16666666666666666,0.5,0.13964993645802448,0.194093717596776
2025-06-30,7,0.11428571428571428,0.34285714285714286,0.138682458588343,0.2496075807001981
2025-07-31,9,0.08888888888888889,0.26666666666666666,0.13894038941949954,0.3213080927891591
2025-08-29,9,0.1111111111111111,0.3333333333333333,0.09833343359985686,0.20542256153364535
2025-09-30,9,0.08888888888888889,0.26666666666666666,0.1255946213470239,0.3743501836542167
2025-10-31,9,0.08888888888888889,0.26666666666666666,0.16110179031835353,0.44871773100258633
2025-11-28,9,0.08888888888888889,0.26666666666666666,0.1266369441379635,0.3719780934753858
2026-01-30,9,0.1111111111111111,0.3333333333333333,0.09607168434115461,0.17998990424293873
