date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale,Weekly Score50 RegimeState,Weekly Score50 Rotation,Weekly Score50 RangeOsc,Biweekly Score50 RegimeState,Biweekly Score50 Rotation,Biweekly Score50 RangeOsc
2022-12-02,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0624614196666522,1.0703859180897606,1.0469213063069494,1.0471442610916013,1.0469213063069494,1.0226976208856973,1.0220267342014522,1.0226976208856973
2022-12-05,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0638916280391748,1.0718267938463246,1.044427153693656,1.0446495773177942,1.044427153693656,1.0202611780237796,1.019591889639012,1.0202611780237796
2022-12-06,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0628138428096041,1.0707409698238206,1.043014863340192,1.0432369861997075,1.043014863340192,1.0188815652718122,1.0182131819090234,1.0188815652718122
2022-12-07,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0598572607851624,1.0677623357708002,1.0385185596382371,1.038739724954509,1.0385185596382371,1.014489297131822,1.013823795084242,1.014489297131822
2022-12-08,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.056795139861847,1.0646773756441226,1.0369731258359731,1.0371939620330852,1.0369731258359731,1.0129796216067464,1.0123151099019487,1.0129796216067464
2022-12-09,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0597114207621856,1.0676154079821778,1.0363914178564868,1.0366121301717213,1.0363914178564868,1.0124113731977333,1.01174723426225,1.0124113731977333
2022-12-12,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0554080076040975,1.0632798972908013,1.0339445277163053,1.0341647189361516,1.0339445277163053,1.0100210992489111,1.0093585283262316,1.0100210992489111
2022-12-13,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0576399482979402,1.0655284851872449,1.037548688741226,1.0377696475115465,1.037548688741226,1.0135418671263725,1.0128769865901384,1.0135418671263725
2022-12-14,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0607233877261695,1.0686349228255123,1.040354008326321,1.0405755645239938,1.040354008326321,1.0162822771726836,1.0156155989353775,1.0162822771726836
2022-12-15,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0589573128104817,1.066855675424099,1.0371729558238312,1.0373938345772,1.0371729558238312,1.013174827924483,1.0125101881649048,1.013174827924483
2022-12-16,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0519988329768142,1.059845294917665,1.0306042316185484,1.0308237114812062,1.0306042316185484,1.0067580909868288,1.0060976605881407,1.0067580909868288
2022-12-19,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0514503626056355,1.0592927337131526,1.0268324295231752,1.0270511061341283,1.0268324295231752,1.0030735609212433,1.002415547563632,1.0030735609212433
2022-12-20,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0442881489872022,1.0520770998486053,1.018415778878736,1.0186326630602862,1.018415778878736,0.9948516549021004,0.9941990350910807,0.9948516549021004
2022-12-21,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0511626583146467,1.059002883544527,1.0199564112236017,1.020173623501782,1.0199564112236017,0.9963566400659916,0.9957030329890529,0.9963566400659916
2022-12-22,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0570503954433876,1.0649345350806327,1.023614009637184,1.0238320008459885,1.023614009637184,0.9999296088967827,0.9992736579626151,0.9999296088967827
2022-12-23,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0451736923268589,1.0529692481215507,1.0176726148354995,1.0178893407511147,1.0176726148354995,0.9941256862028607,0.99347354262521,0.9941256862028607
2022-12-26,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0458753617682834,1.0536761510503088,1.0191610911183309,1.0193781340233006,1.0191610911183309,0.9955797220926891,0.9949266246716961,0.9955797220926891
2022-12-27,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0485536804759084,1.0563744463255362,1.0201523523424103,1.0203696063486647,1.0201523523424103,0.9965480474954057,0.9958943148557465,0.9965480474954057
2022-12-28,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0481416252556577,1.0559593177410367,1.0151420473439796,1.0153582343440843,1.0151420473439796,0.9916536710308728,0.9910031490880322,0.9916536710308728
2022-12-29,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0401516816852143,1.0479097801994122,1.0090019462820732,1.0092168256720435,1.0090019462820732,0.9856556397460186,0.9850090524943698,0.9856556397460186
2023-01-02,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0377496839559148,1.0454898668763173,1.0121849382869932,1.0124004955343082,1.0121849382869932,0.9887649836204047,0.9881163566481586,0.9887649836204047
2023-01-03,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0419452297274385,1.049716705639036,1.0123283492181658,1.0125439370066047,1.0123283492181658,0.9889050763066799,0.9882563574340364,0.9889050763066799
2023-01-04,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0442882211850393,1.0520771725849392,1.0151943875363496,1.0154105856829425,1.0151943875363496,0.9917048001748598,0.9910542446914485,0.9917048001748598
2023-01-05,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0431009704247982,1.0508810665697181,1.01725817075889,1.017474808413535,1.01725817075889,0.9937208315413063,0.9930689535471439,0.9937208315413063
2023-01-06,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0453325846901769,1.0531293256029912,1.0175138366854781,1.0177305287873306,1.0175138366854781,0.9939705818647433,0.9933185400350903,0.9939705818647433
2023-01-09,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0513791907684287,1.059221031032095,1.023220083140704,1.0234379904580095,1.023220083140704,0.9995447970791921,0.998889098580465,0.9995447970791921
2023-01-10,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0484073390329298,1.0562270133770102,1.0227950516035322,1.023012868405138,1.0227950516035322,0.999129599929943,0.9984741737993462,0.999129599929943
2023-01-11,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0506060353273214,1.058442108916584,1.0250656292428282,1.0252839295919036,1.0250656292428282,1.001347640899933,1.000690759740869,1.001347640899933
2023-01-12,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.052783878402636,1.0606361957007964,1.028137297622,1.0283562521206833,1.028137297622,1.0043482369567753,1.0036893874153683,1.0043482369567753
2023-01-13,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.055186228437368,1.0630564639570372,1.0293624713094498,1.0295816867239573,1.0293624713094498,1.0055450625517635,1.0048854278962243,1.0055450625517635
2023-01-16,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0568282220665672,1.0647107045965132,1.0309634749838064,1.031183031351762,1.0309634749838064,1.0071090221721568,1.0064483615636257,1.0071090221721568
2023-01-17,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0567063748578558,1.0645879485754952,1.029508631005966,1.029727877546981,1.029508631005966,1.0056878404023966,1.005028112085,1.0056878404023966
2023-01-18,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.056029858146527,1.0639063859815463,1.0282647795525977,1.028483761200128,1.0282647795525977,1.0044727692079987,1.0038138379737946,1.0044727692079987
2023-01-19,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0539178852823143,1.0617786607094606,1.0244926515846495,1.0247108299110768,1.0244926515846495,1.0007879208098844,1.0001314068255822,1.0007879208098844
2023-01-20,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0557106333018589,1.0635847801593374,1.0255458456872606,1.0257642483043417,1.0255458456872606,1.0018167460869922,1.0011595571962808,1.0018167460869922
2023-01-25,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0643593766708128,1.072298031238332,1.0328973023588255,1.0331172705591354,1.0328973023588255,1.0089981046119942,1.0083362047708408,1.0089981046119942
2023-01-26,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0674182221266117,1.075379691467018,1.0371119359379375,1.0373328016963699,1.0371119359379375,1.013115219917888,1.0124506192609903,1.013115219917888
2023-01-27,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.069177208389525,1.0771517973440732,1.0398487102495688,1.0400701588377932,1.0398487102495688,1.0157886706925978,1.0151223162597167,1.0157886706925978
2023-01-30,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.064441871749677,1.0723811416168298,1.035409109702549,1.0356296128231648,1.035409109702549,1.0114517937088479,1.0107882842547369,1.0114517937088479
2023-01-31,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0636424694743463,1.0715757769018723,1.0308910902712562,1.0311106312239962,1.0308910902712562,1.007038312298485,1.0063776980754264,1.007038312298485
2023-02-01,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0738876725790207,1.0818973951067514,1.03560561197257,1.035826156940764,1.03560561197257,1.011643749305547,1.010980113929119,1.011643749305547
2023-02-02,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0764232793866326,1.0844519140478082,1.0392469033777916,1.0394682238038315,1.0392469033777916,1.0152007884398522,1.01453481965603,1.0152007884398522
2023-02-03,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0794454488322893,1.0874966247138453,1.0428547677550768,1.0430768565202655,1.0428547677550768,1.0187251739814394,1.0180568932108855,1.0187251739814394
2023-02-06,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.075811226578116,1.0838352961685733,1.0400905272111507,1.0403120272972748,1.0400905272111507,1.0160248924886486,1.0153583830949515,1.0160248924886486
2023-02-07,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.0765663753871342,1.0845960773473282,1.0416829127253715,1.0419047519296005,1.0416829127253715,1.017580433356062,1.0169129035320508,1.017580433356062
2023-02-08,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.082807930942607,1.0908841863081686,1.04829278570421,1.0485160325622882,1.04829278570421,1.024037366966154,1.0233656014123518,1.024037366966154
2023-02-09,1.0312715295760846,1.0378270342432363,1.0378270342432363,1.083061225981078,1.0911393705786585,1.0463438602492363,1.0465666920596386,1.0463438602492363,1.0221335357860284,1.0214630191399792,1.0221335357860284
