Strategy,FinalNAV,CAGR,MDD,Sharpe,AvgTurnover,AnnualTurnover,AvgGrossExposure,AvgHoldings,RebalanceCount,BuyTrades,SellTrades,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,FirstRebalance,LastRebalance,RunId,RunStartedAt
Daily Top20,1.8444494416700792,0.078439088120193,-0.0820114696694347,0.9889516904408088,0.0227650519758999,5.579796119672531,0.2019584675889566,3.185707096124811,1987,253,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4788626069451434,0.5211373930548565,2018-02-12,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Top20,1.875225960808183,0.0806427509065796,-0.0820114696694348,1.032340547528949,0.0511793258460429,4.444460361617054,0.5183219500626793,3.044791142425768,704,207,181,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4879261363636363,0.5120738636363636,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Buffer 20/25,1.8748421330734544,0.0806154639138678,-0.0820114696694348,1.031939350123019,0.0511824555727171,4.444732149998719,0.5183219500626793,3.044791142425768,704,207,181,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4879261363636363,0.5120738636363636,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Score50 MADScale,1.991776849723764,0.0887105068786688,-0.1269840951433791,0.9102986982579367,0.0563639588510897,10.477714457052787,0.4970563548008817,9.204831404126825,1507,261,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4273390842733908,0.5726609157266092,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Biweekly Score50 MADScale,2.006632760924544,0.0897089131432207,-0.1269840951433789,0.9200248828746794,0.0585342003855019,10.440704402196369,0.5126306546922051,9.188726723704075,1446,261,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4356846473029045,0.5643153526970954,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Score50 RegimeState,2.0497224814067514,0.0925685808675502,-0.1368097419835507,1.0083448958046246,0.0433659032269973,6.686675174628832,0.4756866499882097,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1724,0.8276,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Score50 Rotation,2.038795829644559,0.0918484531205341,-0.1404713653754601,0.9949493770680824,0.0441966030556423,6.814762439240693,0.4747332851557551,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0309985208690031,0.1785997041738005,0.8214002958261993,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Weekly Score50 RangeOsc,2.0497224814067514,0.0925685808675502,-0.1368097419835507,1.0083448958046246,0.0433659032269973,6.686675174628832,0.4756866499882097,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1724,0.8276,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Biweekly Score50 RegimeState,1.964755267325524,0.0868776386918928,-0.1370553606897203,0.9603387358129696,0.0442968958289589,6.251023551012223,0.4891455632242589,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1604020979020979,0.8395979020979021,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Biweekly Score50 Rotation,1.9538241549429427,0.0861298999802595,-0.1380717089886222,0.9471770812452392,0.0450162371100269,6.352534485469878,0.488224298899375,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0301477462101519,0.1664316471441283,0.8335683528558717,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
Biweekly Score50 RangeOsc,1.964755267325524,0.0868776386918928,-0.1370553606897203,0.9603387358129696,0.0442968958289589,6.251023551012223,0.4891455632242589,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1604020979020979,0.8395979020979021,2018-02-23,2026-03-23,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
