BottomSliceCount,BottomSlicePenalty,BottomSlicePenaltyFloor,CAGR,MDD,Sharpe,FinalNAV,AnnualTurnover
4,0.6,0.35,0.5391428030467884,-0.29270595691257784,1.6828884517099338,13.286699863329497,15.024824355971894
4,0.65,0.35,0.5345640496748068,-0.29270595691257784,1.6809984977318793,13.051352478127564,15.012646370023415
4,0.6,0.4,0.5337821374873297,-0.29270595691257784,1.6813219989998578,13.01151172035101,15.001592505854799
4,0.65,0.4,0.5292068821703528,-0.29270595691257784,1.6792961747955033,12.780414603413375,14.988852459016393
4,0.6,0.45,0.5284240416441184,-0.29270595691257784,1.6795859186492008,12.74121799307593,14.97836065573771
4,0.65,0.45,0.5238516128817257,-0.29270595691257784,1.677417159289946,12.514273417565855,14.965620608899304
3,0.6,0.35,0.5167872823893205,-0.29270595691257784,1.6707455137007796,12.170275217330458,14.97793911007026
3,0.65,0.35,0.5129041137933905,-0.29270595691257784,1.6690313473215463,11.984564975648661,14.965433255269318
3,0.6,0.4,0.5127370954818276,-0.29270595691257784,1.6690795735468824,11.976630699978612,14.957564402810306
3,0.65,0.4,0.508856693400906,-0.29270595691257784,1.6672634511778206,11.793518885897617,14.944215456674474
3,0.6,0.45,0.5086858864637533,-0.29270595691257784,1.6672951131260727,11.78551261653291,14.939156908665105
3,0.65,0.45,0.5048085878714059,-0.29270595691257784,1.6653746308649322,11.604985647561245,14.924683840749413
