date,ticker,action,weight_delta,price
2022-08-11,080220,BUY,0.441833226433642,4840.0
2022-08-11,217500,BUY,0.558166773566358,3795.0
2022-08-19,080220,SELL,-0.441833226433642,4850.0
2022-08-19,217500,BUY,0.10383708897323796,3875.0
2022-08-19,272110,BUY,0.3379961374604039,12550.0
2022-08-26,217500,SELL,-0.08516813300502857,3720.0
2022-08-26,272110,BUY,0.08516813300502857,12150.0
2022-09-02,053610,BUY,0.8787146654624585,23900.0
2022-09-02,217500,SELL,-0.5768357295345674,3490.0
2022-09-02,272110,SELL,-0.30187893592789083,12300.0
2022-09-13,053610,SELL,-0.1879648718440987,24900.0
2022-09-13,272110,BUY,0.1879648718440986,12200.0
2023-10-19,053610,SELL,-0.047452589559909275,44400.0
2023-10-19,240810,BUY,0.20207769275072937,31750.0
2023-10-19,272110,SELL,-0.15462510319082012,17800.0
2023-10-26,053610,SELL,-0.1303714570079363,46200.0
2023-10-26,240810,BUY,0.13037145700793626,32150.0
2023-11-02,053610,BUY,0.127074237347245,48150.0
2023-11-02,095610,BUY,0.20537491241142064,21400.0
2023-11-02,240810,SELL,-0.33244914975866563,33850.0
2023-11-09,053610,SELL,-0.06340758825576465,51400.0
2023-11-09,080220,BUY,0.26878250066718534,4700.0
2023-11-09,095610,SELL,-0.20537491241142064,21600.0
2023-11-16,053610,BUY,0.005819191266255519,53600.0
2023-11-16,080220,SELL,-0.26878250066718534,5060.0
2023-11-16,240810,BUY,0.2629633094009298,34900.0
