event_id,event_title,event_type,first_eval_date,last_eval_date,first_trade_date,last_trade_date,rebalance_rows,unique_names
EVT001,US CHIPS and Science Act signed,policy_regulation,2022-08-10,2022-09-08,2022-08-11,2022-09-13,10,4
EVT002,US tightened advanced AI chip export controls to China,tariff_trade,2023-10-18,2023-11-15,2023-10-19,2023-11-16,10,4
