SPYRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,19,0.0022269553289947872,3,3,-0.030832359806008694,-0.02860540447701391
UP,42,0.0017738199490580024,11,6,0.07573883461831049,0.0775126545673685
