KOSPIRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,29,0.0003192734614689705,5,6,-0.004961445295273092,-0.004642171833804122
UP,32,0.0033610518352730286,9,3,0.08559681660055611,0.08895786843582913
