SPYRegime,KOSPIRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,DOWN,15,0.0008300981645264008,2,2,-0.04367264673709078,-0.04284254857256438
DOWN,UP,4,0.007465169695751237,1,1,0.017318716185549123,0.024783885881300358
UP,DOWN,14,-0.00022803872037827622,3,4,0.03651484196381728,0.03628680324343901
UP,UP,28,0.0027747492837761414,8,2,0.0953508309455571,0.09812558022933325
