BasketSize,ExcludedSymbols,AvgTotalDelta,AvgExcludedDelta,AvgResidualDelta,PositiveResidualMonths,NegativeResidualMonths
1,PLTR,0.0012751613857959572,0.00040711961933456443,0.0008680417664613927,13,7
2,"PLTR, NVDA",0.0012751613857959572,0.0007769971147964893,0.0004981642709994677,10,10
3,"PLTR, NVDA, MU",0.0012751613857959572,0.0011002161121834901,0.00017494527361246697,9,11
4,"PLTR, NVDA, MU, LRCX",0.0012751613857959572,0.0012404509547376797,3.471043105827751e-05,8,12
5,"PLTR, NVDA, MU, LRCX, 0000J0",0.0012751613857959572,0.001301736342664086,-2.6574956868128938e-05,8,12
