Date,GrossDailyReturn,NetDailyReturn,TurnoverOneWay,CostApplied,GrossNAV,NetNAV
2016-02-01,0.0,-0.0004999999999999449,0.5,0.0005,1.0,0.9995
2016-02-02,0.0078254732832452,0.007825473283245232,0.0,0.0,1.0078254732832452,1.0073215605466037
2016-02-03,-0.0025009523927810805,-0.0025009523927810307,0.0,0.0,1.0053049497543318,1.0048022972794548
2016-02-04,0.002347334195532369,0.002347334195532458,0.0,0.0,1.0076647364398281,1.0071609040716085
2016-02-05,0.0008662392267874463,0.0008662392267875241,0.0,0.0,1.008537615161983,1.0080333463544022
2016-02-08,0.008676457102586254,0.008676457102586355,0.0,0.0,1.0172881485162806,1.0167795044420227
2016-02-09,0.00041341662879933465,0.0004134166287992347,0.0,0.0,1.0177087123531576,1.0171998579969812
2016-02-10,0.003479914164165554,0.0034799141641654874,0.0,0.0,1.02125025131627,1.020739626190612
2016-02-11,0.0038860339868788895,0.003886033986878923,0.0,0.0,1.0252188645019937,1.024706255069743
2016-02-12,-0.007649155729010642,-0.007649155729010593,0.0,0.0,1.0173768057510986,1.0168681173482232
2016-02-16,-0.003985255663437553,-0.003985255663437548,0.0,0.0,1.013322299074129,1.012815637924592
2016-02-17,-0.002639247763224084,-0.0026392477632241063,0.0,0.0,1.0106478904628726,1.0101425665176411
2016-02-18,0.005226486881126625,0.005226486881126702,0.0,0.0,1.0159300284038153,1.0154220633896132
2016-02-19,0.00020996079601537376,0.00020996079601531825,0.0,0.0,1.0161433338812749,1.0156352622143339
2016-02-22,-0.0005815335840946789,-0.000581533584094629,0.0,0.0,1.015552412406369,1.0150446362001655
2016-02-23,0.0018431520417760193,0.0018431520417760971,0.0,0.0,1.0174242299088265,1.0169155177938718
2016-02-24,-0.0004285565718661954,-0.0004285565718662454,0.0,0.0,1.0169882060687232,1.0164797119656885
2016-02-25,0.002172396991041026,0.0021723969910409924,0.0,0.0,1.019197508187511,1.018687909433417
2016-02-26,-0.0046017551378317815,-0.004601755137831787,0.0,0.0,1.0145074108177439,1.0140001571123345
2016-02-29,0.0018922546924353468,0.001892254692435369,0.0,0.0,1.0164271172263741,1.0159189036677605
2016-03-01,-0.00791915472200579,-0.007919154722005772,0.0,0.0,1.0083778736214162,1.007873684684605
2016-03-02,0.00018513048266913804,0.00018513048266921572,0.0,0.0,1.0085645551038727,1.0080602728263204
2016-03-03,0.0015119570224258582,0.0015119570224257917,0.0,0.0,1.0100894613655318,1.0095844166348487
2016-03-04,-0.0031238666528970284,-0.0031238666528969894,0.0,0.0,1.0069340765807293,1.0064306095424387
2016-03-07,-0.0009849255692648386,-0.0009849255692648828,0.0,0.0,1.0059423214621408,1.0054393503014094
