date,ticker,action,weight_delta,price
2022-08-18,006400,BUY,1.0,624000.0
2022-09-19,006400,SELL,-1.0,608000.0
2022-12-09,123690,BUY,1.0,8150.0
2022-12-16,003230,BUY,1.0,117000.0
2022-12-16,123690,SELL,-1.0,8070.0
2022-12-23,003230,SELL,-1.0,124500.0
2022-12-23,145020,BUY,1.0,138300.0
2023-01-09,145020,SELL,-1.0,136400.0
2023-02-08,123690,BUY,1.0,8540.0
2023-03-09,123690,SELL,-1.0,8070.0
2023-04-05,008350,BUY,1.0,2410.0
2023-04-12,008350,SELL,-1.0,2365.0
2023-04-12,038500,BUY,1.0,3750.0
2023-04-19,008350,BUY,1.0,2505.0
2023-04-19,038500,SELL,-1.0,3760.0
2023-05-04,008350,SELL,-1.0,2445.0
2023-10-19,053610,BUY,0.5958446144985412,44400.0
2023-10-19,240810,BUY,0.40415538550145874,31750.0
2023-10-26,053610,SELL,-0.26074291401587246,46200.0
2023-10-26,240810,BUY,0.2607429140158725,32150.0
2023-11-02,053610,BUY,0.6648982995173313,48150.0
2023-11-02,240810,SELL,-0.6648982995173313,33850.0
2023-11-09,053610,SELL,-0.5375650013343707,51400.0
2023-11-09,080220,BUY,0.5375650013343707,4700.0
2023-11-16,053610,SELL,-0.46243499866562926,53600.0
2023-11-16,080220,SELL,-0.5375650013343707,5060.0
2024-05-17,348370,BUY,1.0,291000.0
2024-06-17,348370,SELL,-1.0,276000.0
