BasketSize,ExcludedSymbols,AvgTotalDelta,AvgExcludedDelta,AvgResidualDelta,PositiveResidualMonths,NegativeResidualMonths
1,PLTR,0.002056235964210626,0.0008142392386691305,0.0012419967255414958,12,10
2,"PLTR, NVDA",0.002056235964210626,0.0015539942295929815,0.0005022417346176446,9,13
3,"PLTR, NVDA, MU",0.002056235964210626,0.0022004322243669838,-0.0001441962601563581,7,15
4,"PLTR, NVDA, MU, LRCX",0.002056235964210626,0.002480901909475363,-0.000424665945264737,7,15
5,"PLTR, NVDA, MU, LRCX, 0000J0",0.002056235964210626,0.002603472685328176,-0.0005472367211175501,7,15
