period,start_date,end_date,model_cagr,spy_cagr,model_sharpe,spy_sharpe,model_max_drawdown,spy_max_drawdown,drawdown_improvement_vs_spy
2016-2019,2016-02-01,2019-12-31,0.1301629788672094,0.16162124167545544,1.33564670854368,1.2548038091226568,-0.13463998117259024,-0.19348933192244433,0.05884935074985409
2020-2022,2020-01-02,2022-12-30,0.056660505345296874,0.07638359393597516,0.4092266889562252,0.4196686442187484,-0.2550328797448458,-0.33717272970521206,0.08213984996036627
2023-2026,2023-01-03,2026-04-02,0.1964318122305353,0.196333745057637,1.3298962461648944,1.2554999875962023,-0.15132456651734838,-0.18755238717833533,0.036227820660986954
