Date,GrossDailyReturn,NetDailyReturn,TurnoverOneWay,CostApplied,GrossNAV,NetNAV
2016-02-01,0.0,-0.0004999999999999449,0.5,0.0005,1.0,0.9995
2016-02-02,0.009107233904433331,0.009107233904433354,0.0,0.0,1.0091072339044334,1.0086026802874812
2016-02-03,-0.0029923078622798973,-0.002992307862279886,0.0,0.0,1.0060876743945375,1.0055846305573404
2016-02-04,0.002686604954095184,0.0026866049540952286,0.0,0.0,1.00879063452482,1.0082862392075578
2016-02-05,0.0009884131484175773,0.0009884131484176883,0.0,0.0,1.009787736451985,1.0092828425837592
2016-02-08,0.010147940234528429,0.010147940234528363,0.0,0.0,1.0200350020510593,1.019524984550034
2016-02-09,0.0004537831499476175,0.0004537831499475953,0.0,0.0,1.020497876747347,1.0199876278089735
2016-02-10,0.004091628972123473,0.004091628972123562,0.0,0.0,1.024673375425837,1.0241610387381241
2016-02-11,0.004444231842808554,0.004444231842808621,0.0,0.0,1.0292272614693827,1.0287126478386481
2016-02-12,-0.008838778893913546,-0.00883877889391349,0.0,0.0,1.0201301492736667,1.01962008419903
2016-02-16,-0.0046629552023086055,-0.0046629552023086385,0.0,0.0,1.0153733280870791,1.0148656414230357
2016-02-17,-0.003069129438529994,-0.003069129438529994,0.0,0.0,1.0122570159147488,1.0117508874067915
2016-02-18,0.0060512242359808555,0.006051224235980923,0.0,0.0,1.0183824101024939,1.0178732188974426
2016-02-19,0.0002519529552184485,0.00025195295521851513,0.0,0.0,1.0186389945602616,1.0181296750629816
2016-02-22,-0.000658021719793489,-0.0006580217197934557,0.0,0.0,1.0179687079772124,1.017459723623224
2016-02-23,0.002167121297831964,0.002167121297832031,0.0,0.0,1.0201747696447965,1.019664682259974
2016-02-24,-0.0005493482992873777,-0.0005493482992873222,0.0,0.0,1.0196143383701162,1.019104531200931
2016-02-25,0.0025226018222397114,0.002522601822239734,0.0,0.0,1.0221864193580703,1.0216753261483913
2016-02-26,-0.005327381830702971,-0.005327381830702915,0.0,0.0,1.0167408419999908,1.0162324715789908
2016-02-29,0.0021703914810074832,0.0021703914810073943,0.0,0.0,1.0189475676618598,1.0184380938780289
2016-03-01,-0.009190351370347037,-0.009190351370347072,0.0,0.0,1.0095830814870868,1.0090782899463433
2016-03-02,0.00032662833783738673,0.00032662833783736467,0.0,0.0,1.0099128399309016,1.0094078835109361
2016-03-03,0.0017317085671790355,0.00173170856717908,0.0,0.0,1.011661714647914,1.01115588379059
2016-03-04,-0.0036134669237255167,-0.00361346692372555,0.0,0.0,1.0080061085040344,1.0075021054497824
2016-03-07,-0.0011012724717396117,-0.0011012724717396338,0.0,0.0,1.0068960191253935,1.0063925711158308
2016-03-08,0.00616222326889162,0.006162223268891598,0.0,0.0,1.0131007372038023,1.0125941868352004
2016-03-09,-0.0037425315572613303,-0.0037425315572613416,0.0,0.0,1.0093091757241324,1.0088045211362704
2016-03-10,-0.0030179600369613533,-0.003017960036961309,0.0,0.0,1.0062631209668587,1.0057599894063753
2016-03-11,-0.004501228065658502,-0.004501228065658447,0.0,0.0,1.0017337011653256,1.001232834314743
2016-03-14,0.001311690303096591,0.0013116903030965243,0.0,0.0,1.0030476655474292,1.0025461417146555
2016-03-15,0.00018927838998098465,0.0001892783899810624,0.0,0.0,1.0032375207946382,1.002735902034241
2016-03-16,0.0035630364961139805,0.0035630364961138916,0.0,0.0,1.0068120926955004,1.0063086866491526
2016-03-17,0.0017464002234895749,0.001746400223489486,0.0,0.0,1.0085703895591958,1.0080661043644161
2016-03-18,0.0014989757328011553,0.001498975732801222,0.0,0.0,1.010082212097967,1.009577170991918
2016-03-21,-0.0036750299138261443,-0.0036750299138261777,0.0,0.0,1.0063701297530832,1.0058669446882067
2016-03-22,-0.001124814434213417,-0.001124814434213417,0.0,0.0,1.0052381501049756,1.0047355310299233
2016-03-23,0.005651196703580563,0.005651196703580608,0.0,0.0,1.0109189486251624,1.0104134891508498
2016-03-24,-0.0003436445376346686,-0.00034364453763469083,0.0,0.0,1.0105715518504759,1.0100662660745507
2016-03-28,0.0011264743137094023,0.0011264743137093802,0.0,0.0,1.011709934745801,1.011204079778428
2016-03-29,0.00652911002896297,0.006529110028963059,0.0,0.0,1.0183155002271513,1.0178063424770378
2016-03-30,-0.00383950646690695,-0.0038395064669070056,0.0,0.0,1.0144056712786775,1.0138984684430383
2016-03-31,0.00394720913925246,0.0039472091392525055,0.0,0.0,1.0184097426152583,1.0179005377439507
2016-04-01,0.000637300119660189,0.0006373001196602335,0.0,0.0,1.0190587752660902,1.018549245878457
2016-04-04,0.0007735108059516493,0.0007735108059516715,0.0,0.0,1.0198470282406584,1.019337104726538
2016-04-05,0.005319755011748106,0.005319755011748084,0.0,0.0,1.025272364580358,1.0247597283980678
2016-04-06,-0.003262233883639398,-0.0032622338836394427,0.0,0.0,1.021927686332665,1.0214167224894986
2016-04-07,0.00623952469614102,0.0062395246961410855,0.0,0.0,1.0283040293692078,1.0277898773545233
2016-04-08,-0.0026188657414041748,-0.0026188657414041305,0.0,0.0,1.025611039174945,1.0250982336553576
2016-04-11,-0.0005204509884183417,-0.0005204509884183528,0.0,0.0,1.0250772588958734,1.0245647202664256
2016-04-12,-0.004055010508651413,-0.004055010508651424,0.0,0.0,1.020920559838871,1.0204100995589518
2016-04-13,0.001459833939516919,0.0014598339395168747,0.0,0.0,1.0224109343216745,1.0218997288545137
2016-04-14,-0.002614955412393571,-0.002614955412393538,0.0,0.0,1.0197373753152796,1.0192275066276222
2016-04-15,0.004022635804880492,0.004022635804880492,0.0,0.0,1.0238394073927977,1.0233274876891014
2016-04-18,-0.0017501463154395048,-0.0017501463154394603,0.0,0.0,1.0220475386263475,1.0215365148570343
2016-04-19,-0.0017517134061145855,-0.0017517134061145745,0.0,0.0,1.0202572042512492,1.0197470756491238
2016-04-20,-0.005839334646577488,-0.005839334646577488,0.0,0.0,1.0142995810100446,1.0137924312195399
2016-04-21,-0.0026487986137723294,-0.0026487986137723185,0.0,0.0,1.0116129056859153,1.0111070992330726
2016-04-22,-0.001272895982582045,-0.0012728959825820674,0.0,0.0,1.0103252276823396,1.0098200650684985
2016-04-25,-0.0018311773211699856,-0.0018311773211699967,0.0,0.0,1.0084751430384018,1.0079709054668826
