Market,ExecutionSide,OrderCount,GrossDeltaWeightPct,GrossDeltaNotional
KR,BUY,3,4.166666666666639,4166666.66666664
US,BUY,5,6.9444444444444,6944444.444444399
US,SELL,1,11.11111111111111,11111111.11111111
