BottomSliceCount,BottomSlicePenalty,BottomSlicePenaltyFloor,TopSliceBonusExposure,BottomSlicePenaltyPower,CAGR,MDD,Sharpe,FinalNAV,AnnualTurnover,CAGRDeltaVsCurrent,SharpeDeltaVsCurrent,TurnoverDeltaVsCurrent
6,0.35,0.2,0.18,0.5,0.6315699672750634,-0.29270595691257784,1.6892405803253625,18.85138113157869,15.318780992807628,0.004647169078710434,-0.0005164935115424818,0.007482057822903343
7,0.35,0.2,0.18,0.5,0.6315699672750634,-0.29270595691257784,1.6892405803253625,18.85138113157869,15.318780992807628,0.004647169078710434,-0.0005164935115424818,0.007482057822903343
6,0.35,0.2,0.18,0.65,0.6301734781064627,-0.29270595691257784,1.6892133007770676,18.75479868196559,15.31477064391252,0.003250679910109744,-0.000543773059837438,0.0034717089277958024
7,0.35,0.2,0.18,0.65,0.6301734781064627,-0.29270595691257784,1.6892133007770676,18.75479868196559,15.31477064391252,0.003250679910109744,-0.000543773059837438,0.0034717089277958024
6,0.35,0.2,0.17,0.5,0.6272138325787038,-0.29270595691257784,1.689387653247485,18.551469329687528,15.28101050100435,0.0002910343823507855,-0.000369420589420022,-0.03028843398037573
7,0.35,0.2,0.17,0.5,0.6272138325787038,-0.29270595691257784,1.689387653247485,18.551469329687528,15.28101050100435,0.0002910343823507855,-0.000369420589420022,-0.03028843398037573
6,0.4,0.2,0.18,0.5,0.626922798196353,-0.29270595691257784,1.689757073836905,18.53157469337123,15.311298934984725,0.0,0.0,0.0
7,0.4,0.2,0.18,0.5,0.626922798196353,-0.29270595691257784,1.689757073836905,18.53157469337123,15.311298934984725,0.0,0.0,0.0
6,0.35,0.2,0.17,0.65,0.6258180380037004,-0.29270595691257784,1.689345709367521,18.45621683890239,15.27700015210924,-0.0011047601926525985,-0.0004113644693839458,-0.034298782875485045
7,0.35,0.2,0.17,0.65,0.6258180380037004,-0.29270595691257784,1.689345709367521,18.45621683890239,15.27700015210924,-0.0011047601926525985,-0.0004113644693839458,-0.034298782875485045
6,0.4,0.2,0.18,0.65,0.6250614573755213,-0.29270595691257784,1.6896952753449186,18.404756454857495,15.305951803124579,-0.0018613408208316695,-6.179849198639786e-05,-0.005347131860146348
7,0.4,0.2,0.18,0.65,0.6250614573755213,-0.29270595691257784,1.6896952753449186,18.404756454857495,15.305951803124579,-0.0018613408208316695,-6.179849198639786e-05,-0.005347131860146348
6,0.4,0.2,0.17,0.5,0.6225687891453195,-0.29270595691257784,1.6898553305903485,18.236057580741328,15.273528443181444,-0.004354009051033447,9.825675344354856e-05,-0.03777049180328085
7,0.4,0.2,0.17,0.5,0.6225687891453195,-0.29270595691257784,1.6898553305903485,18.236057580741328,15.273528443181444,-0.004354009051033447,9.825675344354856e-05,-0.03777049180328085
6,0.35,0.15,0.18,0.5,0.6207756576054115,-0.29270595691257784,1.6677993695497533,18.115500503364796,15.13542845551402,-0.006147140590941458,-0.021957704287151714,-0.17587047947070467
7,0.35,0.15,0.18,0.5,0.6207756576054115,-0.29270595691257784,1.6677993695497533,18.115500503364796,15.13542845551402,-0.006147140590941458,-0.021957704287151714,-0.17587047947070467
6,0.4,0.2,0.17,0.65,0.6207083778244222,-0.29270595691257784,1.6897730771949184,18.11099006142587,15.268181311321303,-0.006214420371930762,1.6003358013438884e-05,-0.04311762366342187
7,0.4,0.2,0.17,0.65,0.6207083778244222,-0.29270595691257784,1.6897730771949184,18.11099006142587,15.268181311321303,-0.006214420371930762,1.6003358013438884e-05,-0.04311762366342187
6,0.35,0.15,0.18,0.65,0.6189874246333105,-0.29270595691257784,1.6677371972724828,17.995934914276262,15.13062790982746,-0.007935373563042525,-0.02201987656442217,-0.18067102515726496
7,0.35,0.15,0.18,0.65,0.6189874246333105,-0.29270595691257784,1.6677371972724828,17.995934914276262,15.13062790982746,-0.007935373563042525,-0.02201987656442217,-0.18067102515726496
6,0.35,0.15,0.17,0.5,0.6166153457236421,-0.29270595691257784,1.6679946993860482,17.838347302333535,15.099625176825494,-0.01030745247271092,-0.021762374450856825,-0.21167375815923073
7,0.35,0.15,0.17,0.5,0.6166153457236421,-0.29270595691257784,1.6679946993860482,17.838347302333535,15.099625176825494,-0.01030745247271092,-0.021762374450856825,-0.21167375815923073
6,0.4,0.15,0.18,0.5,0.6163620898608486,-0.29270595691257784,1.6683696149913316,17.82159056205226,15.12936519468526,-0.010560708335504376,-0.02138745884557336,-0.18193374029946519
7,0.4,0.15,0.18,0.5,0.6163620898608486,-0.29270595691257784,1.6683696149913316,17.82159056205226,15.12936519468526,-0.010560708335504376,-0.02138745884557336,-0.18193374029946519
6,0.35,0.15,0.17,0.65,0.6148279282073119,-0.29270595691257784,1.6679140740556095,17.720362499431936,15.094824631138938,-0.01209486998904108,-0.021842999781295447,-0.21647430384578747
7,0.35,0.15,0.17,0.65,0.6148279282073119,-0.29270595691257784,1.6679140740556095,17.720362499431936,15.094824631138938,-0.01209486998904108,-0.021842999781295447,-0.21647430384578747
6,0.4,0.15,0.18,0.65,0.6141272012472205,-0.29270595691257784,1.6682620168541464,17.67428633288857,15.123595527981859,-0.01279559694913246,-0.021495056982758554,-0.18770340700286603
7,0.4,0.15,0.18,0.65,0.6141272012472205,-0.29270595691257784,1.6682620168541464,17.67428633288857,15.123595527981859,-0.01279559694913246,-0.021495056982758554,-0.18770340700286603
