BasketSize,ExcludedSymbols,AvgTotalDelta,AvgExcludedDelta,AvgResidualDelta,PositiveResidualMonths,NegativeResidualMonths
1,PLTR,0.0033789841729807047,0.0011815971933842873,0.0021973869795964174,15,8
2,"PLTR, NVDA",0.0033789841729807047,0.0022448117746256798,0.0011341723983550249,13,10
3,"PLTR, NVDA, MU",0.0033789841729807047,0.0032174286590536936,0.00016155551392701118,12,11
4,"PLTR, NVDA, MU, LRCX",0.0033789841729807047,0.003655662542035536,-0.00027667836905483133,11,12
5,"PLTR, NVDA, MU, LRCX, 0000J0",0.0033789841729807047,0.0038088760118515524,-0.0004298918388708477,11,12
