,Code,Name,MAD_gap_pct,MRAT,momentum_1m,momentum_3m,momentum_6m,momentum_12m,avg_momentum,current_price,volume_20d_avg
645,489790,한화비전,18.29,1.1829,65.38,93.91,59.55,81.63,75.12,86000,2112656.35
646,389650,넥스트바이오메디컬,18.28,1.1828,-6.77,-1.3,22.29,52.16,16.59,75700,104947.05
647,002760,보락,18.24,1.1824,9.49,21.08,17.4,18.41,16.59,1235,6024141.55
648,067830,세이브존I&C,18.23,1.1823,11.82,39.53,24.14,53.29,32.19,3265,814401.65
649,046890,서울반도체,18.14,1.1814,96.87,117.63,94.26,95.41,101.04,13210,1161411.55
650,024880,케이피에프,18.08,1.1808,9.08,22.68,36.92,55.82,31.13,6490,296139
651,377300,카카오페이,18.05,1.1805,-3.67,36.06,12.89,122.84,42.03,68300,1480821.25
652,241690,유니테크노,18.01,1.1801,8.16,13.33,31.21,37.92,22.66,3910,1362438.95
653,308170,씨티알모빌리티,18,1.18,-30.13,22.89,15.73,6.05,3.63,5960,83452.4
654,033160,엠케이전자,17.83,1.1783,4.96,21.45,31.31,20.33,19.51,10360,429467.85
655,023800,인지컨트롤스,17.82,1.1782,1.94,22.33,32.01,24.62,20.23,7340,123016.95
656,001390,KG케미칼,17.79,1.1779,0.71,6.36,17.81,47.98,18.21,5690,495843.75
657,064480,브리지텍,17.74,1.1774,9.7,25.16,15.52,8.87,14.81,5770,352769.75
658,190650,코리아에셋투자증권,17.65,1.1765,37.57,50.88,46.37,74.41,52.31,10290,246883
659,408920,메쎄이상,17.62,1.1762,-6.39,10.49,-8.92,49.78,11.24,3370,87625.35
660,237750,피앤씨테크,17.51,1.1751,-0.7,13.13,4.32,24.65,10.35,4955,224370.5
661,063760,이엘피,17.46,1.1746,2.94,13.61,26.14,27.67,17.59,2630,64477.35
662,003610,방림,17.46,1.1746,8.46,4.98,29.67,49.18,23.07,5900,188432.4
663,052400,코나아이,17.38,1.1738,29.41,42.38,32.43,141.42,61.41,68200,224291.2
664,025560,미래산업,17.36,1.1736,16.96,16.96,43.25,11.59,22.19,15170,72941.9
665,030210,다올투자증권,17.27,1.1727,31.54,41.24,42.9,81.41,49.27,4880,632834.75
666,013700,까뮤이앤씨,17.26,1.1726,10.03,23.22,12.67,9.39,13.83,1316,397101.25
667,013570,디와이,17.25,1.1725,6.51,26.61,29.5,39,25.4,5400,187507.85
668,203400,에이비온,17.11,1.1711,-12.33,17.56,7.06,8.81,5.27,3200,1656148.95
669,093520,매커스,17.09,1.1709,52.4,51.36,45.41,261.96,102.78,33300,154159.2
670,012510,더존비즈온,16.97,1.1697,26.33,27.01,53.5,75.04,45.47,118500,480107.6
671,147830,제룡산업,16.85,1.1685,7.19,32.33,18.09,33.45,22.76,7900,1358786.65
672,065350,신성델타테크,16.8,1.168,8.74,30.57,17.97,0.14,14.36,70900,316399.95
673,003690,코리안리,16.8,1.168,29.67,26.03,34.9,79.53,42.53,14380,789677.6
674,078600,대주전자재료,16.74,1.1674,27.2,35.96,34.63,-5.1,23.17,96800,508930.45
675,029530,신도리코,16.72,1.1672,23.97,26.1,35.41,53.06,34.64,58700,59780.6
