regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,period_years,train_score,test_score,overall_score,train_cagr,test_cagr,train_mdd,test_mdd,rank_in_period
0.5,0.2,0.15,0.12,40,5,-0.004673074238933705,1.5201420072055027,0.9102159746277282,0.0016433896423149925,0.4678629703712925,-0.04868782499718505,-0.057692556418611894,12.0
0.5,0.24,0.2,0.1,60,5,-0.003084466959112355,1.5183528381509168,0.9097779161069051,0.001518263675868825,0.5178967485429028,-0.044823222495387026,-0.06747270394169395,13.0
0.5,0.24,0.15,0.1,60,5,-0.006071290071474861,1.5183528381509168,0.90858318686196,0.0015575891518498548,0.5178967485429028,-0.048510206006833645,-0.06747270394169395,14.0
0.5,0.24,0.2,0.12,40,5,-0.0038938912829868826,1.5158454212217267,0.9079496962198412,0.0014980018351603193,0.5156715687155996,-0.04535307219066598,-0.06762628047805652,15.0
0.5,0.24,0.15,0.12,40,5,-0.004673074238933705,1.5158454212217267,0.9076380230374625,0.0016433896423149925,0.5156715687155996,-0.04868782499718505,-0.06762628047805652,16.0
0.55,0.2,0.15,0.1,40,5,-0.10219141130917236,1.44064058382891,0.823507785773677,-0.0021774044772014576,0.42409636795852945,-0.007480701183255389,-0.0740572143989749,17.0
0.55,0.2,0.2,0.1,40,5,-0.10219141130917236,1.44064058382891,0.823507785773677,-0.0021774044772014576,0.42409636795852945,-0.007480701183255389,-0.0740572143989749,17.0
0.55,0.24,0.15,0.1,40,5,-0.10219141130917236,1.438770617156103,0.8223858057699929,-0.0021774044772014576,0.46525870760983673,-0.007480701183255389,-0.08602054516464068,18.0
0.55,0.24,0.2,0.1,40,5,-0.10219141130917236,1.438770617156103,0.8223858057699929,-0.0021774044772014576,0.46525870760983673,-0.007480701183255389,-0.08602054516464068,18.0
0.55,0.2,0.15,0.12,40,5,-0.10219141130917236,1.4386449357858453,0.8223103969478383,-0.0021774044772014576,0.4221865451209215,-0.007480701183255389,-0.07292216177678128,19.0
0.55,0.2,0.2,0.12,40,5,-0.10219141130917236,1.4386449357858453,0.8223103969478383,-0.0021774044772014576,0.4221865451209215,-0.007480701183255389,-0.07292216177678128,19.0
0.55,0.24,0.15,0.12,40,5,-0.10219141130917236,1.437534178929732,0.8216439428341702,-0.0021774044772014576,0.4630781216809719,-0.007480701183255389,-0.08449896900962113,20.0
0.55,0.24,0.2,0.12,40,5,-0.10219141130917236,1.437534178929732,0.8216439428341702,-0.0021774044772014576,0.4630781216809719,-0.007480701183255389,-0.08449896900962113,20.0
0.55,0.2,0.15,0.12,60,5,-0.10219141130917236,1.4273932617799285,0.8155593925442881,-0.0021774044772014576,0.4202812637800413,-0.007480701183255389,-0.07701401943241175,21.0
0.55,0.2,0.2,0.12,60,5,-0.10219141130917236,1.4273932617799285,0.8155593925442881,-0.0021774044772014576,0.4202812637800413,-0.007480701183255389,-0.07701401943241175,21.0
0.55,0.24,0.15,0.1,60,5,-0.10219141130917236,1.4263043783275886,0.8149060624728842,-0.0021774044772014576,0.45819156312886505,-0.007480701183255389,-0.08639903247194418,22.0
0.55,0.24,0.2,0.1,60,5,-0.10219141130917236,1.4263043783275886,0.8149060624728842,-0.0021774044772014576,0.45819156312886505,-0.007480701183255389,-0.08639903247194418,22.0
0.55,0.24,0.15,0.12,60,5,-0.10219141130917236,1.4254910738362019,0.8144180797780521,-0.0021774044772014576,0.4603848473906456,-0.007480701183255389,-0.08938694479164788,23.0
0.55,0.24,0.2,0.12,60,5,-0.10219141130917236,1.4254910738362019,0.8144180797780521,-0.0021774044772014576,0.4603848473906456,-0.007480701183255389,-0.08938694479164788,23.0
0.55,0.2,0.15,0.1,60,5,-0.10219141130917236,1.4254305942154437,0.8143817920055972,-0.0021774044772014576,0.41769221037065934,-0.007480701183255389,-0.07482375452569912,24.0
0.55,0.2,0.2,0.1,60,5,-0.10219141130917236,1.4254305942154437,0.8143817920055972,-0.0021774044772014576,0.41769221037065934,-0.007480701183255389,-0.07482375452569912,24.0
