regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,norm_rank
0.5,0.2,0.2,0.12,60,0.0
0.5,0.24,0.2,0.12,60,0.021739130434782608
0.5,0.2,0.15,0.12,60,0.043478260869565216
0.5,0.2,0.2,0.1,40,0.06521739130434782
0.5,0.24,0.15,0.12,60,0.08695652173913043
0.5,0.2,0.15,0.1,40,0.10869565217391304
0.5,0.24,0.2,0.1,40,0.13043478260869565
0.5,0.24,0.15,0.1,40,0.15217391304347827
0.5,0.2,0.2,0.1,60,0.17391304347826086
0.5,0.2,0.15,0.1,60,0.1956521739130435
0.5,0.2,0.2,0.12,40,0.21739130434782608
0.5,0.2,0.15,0.12,40,0.2391304347826087
0.5,0.24,0.2,0.1,60,0.2608695652173913
0.5,0.24,0.15,0.1,60,0.2826086956521739
0.5,0.24,0.2,0.12,40,0.30434782608695654
0.5,0.24,0.15,0.12,40,0.32608695652173914
0.55,0.2,0.15,0.1,40,0.34782608695652173
0.55,0.2,0.2,0.1,40,0.34782608695652173
0.55,0.24,0.2,0.1,40,0.3695652173913043
0.55,0.24,0.15,0.1,40,0.3695652173913043
0.55,0.2,0.2,0.12,40,0.391304347826087
0.55,0.2,0.15,0.12,40,0.391304347826087
0.55,0.24,0.15,0.12,40,0.41304347826086957
0.55,0.24,0.2,0.12,40,0.41304347826086957
0.55,0.2,0.15,0.12,60,0.43478260869565216
0.55,0.2,0.2,0.12,60,0.43478260869565216
0.55,0.24,0.2,0.1,60,0.45652173913043476
0.55,0.24,0.15,0.1,60,0.45652173913043476
0.55,0.24,0.15,0.12,60,0.4782608695652174
0.55,0.24,0.2,0.12,60,0.4782608695652174
0.55,0.2,0.2,0.1,60,0.5
0.55,0.2,0.15,0.1,60,0.5
