date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2025-06-17,1.0,1.0,1.0,1.0,1.0
2025-06-18,1.0,1.0,1.0,1.0,1.0
2025-06-19,1.0,1.0,1.0,1.0,1.0
2025-06-20,1.0,1.0,1.0,1.0,1.0
2025-06-23,1.0,1.0,1.0,1.0,1.0
2025-06-24,1.0,1.0,1.0,1.0,1.0
2025-06-25,1.0,1.0,1.0,1.0,1.0
2025-06-26,1.0,1.0,1.0,1.0,1.0
2025-06-27,1.0,1.0,1.0,1.0,1.0
2025-06-30,1.0,1.0,1.0,1.0,1.0
2025-07-01,1.0,1.0,1.0,1.0,1.0
2025-07-02,1.0,1.0,1.0,1.0,1.0
2025-07-03,1.0,1.0,1.0,1.0,1.0
2025-07-04,1.0,1.0,1.0,1.0,1.0
2025-07-07,1.0,1.0,1.0,1.0,1.0
2025-07-08,1.0,1.0,1.0,1.0,1.0
2025-07-09,1.0,1.0,1.0,1.0,1.0
2025-07-10,1.0,1.0,1.0,1.0,1.0
2025-07-11,1.0,1.0,1.0,1.0,1.0
2025-07-14,1.0,1.0,1.0,1.0,1.0
2025-07-15,1.0,1.0,1.0,1.0,1.0
2025-07-16,1.0,1.0,1.0,1.0,1.0
2025-07-17,1.0,1.0,1.0,1.0,1.0
2025-07-18,1.0,1.0,1.0,1.0,1.0
2025-07-21,1.0,1.0,1.0,1.0,1.0
2025-07-22,1.0,1.0,1.0,1.0,1.0
2025-07-23,1.0,1.0,1.0,1.0,1.0
2025-07-24,1.0,1.0,1.0,1.0,1.0
2025-07-25,1.0,1.0,1.0,1.0,1.0
2025-07-28,1.0,1.0,1.0,1.0,1.0
2025-07-29,1.0,1.0,1.0,1.0,1.0
2025-07-30,1.0,1.0,1.0,1.0,1.0
2025-07-31,1.0,1.0,1.0,1.0,1.0
2025-08-01,1.0,1.0,1.0,1.0,1.0
2025-08-04,1.0,1.0,1.0,1.0,1.0
2025-08-05,1.0,1.0,1.0,1.0,1.0
2025-08-06,1.0,1.0,1.0,1.0,1.0
2025-08-07,1.0,1.0,1.0,1.0,1.0
2025-08-08,1.0,1.0,1.0,1.0,1.0
2025-08-11,1.0,1.0,1.0,1.0,1.0
2025-08-12,1.0,1.0,1.0,1.0,1.0
2025-08-13,1.0,1.0,1.0,1.0,1.0
2025-08-14,1.0,1.0,1.0,1.0,1.0
2025-08-18,1.0,1.0,1.0,1.0,1.0
2025-08-19,1.0,1.0,1.0,1.0,1.0
2025-08-20,1.0,1.0,1.0,1.0,1.0
2025-08-21,1.0,1.0,1.0,1.0,1.0
2025-08-22,1.0,1.0,1.0,1.0,1.0
2025-08-25,1.0,1.0,1.0,1.0,1.0
2025-08-26,1.0,1.0,1.0,1.0,1.0
2025-08-27,1.0,1.0,1.0,1.0,1.0
2025-08-28,1.0,1.0,1.0,1.0,1.0
2025-08-29,1.0,1.0,1.0,1.0,1.0
2025-09-01,1.0,1.0,1.0,1.0,1.0
2025-09-02,1.0,1.0,1.0,1.0,1.0
2025-09-03,1.0,1.0,1.0,1.0,1.0
2025-09-04,1.0,1.0,1.0,1.0,1.0
2025-09-05,1.0,1.0,1.0,1.0,1.0
2025-09-08,1.0,1.0,1.0,1.0,1.0
2025-09-09,1.0,1.0,1.0,1.0,1.0
2025-09-10,1.0,1.0,1.0,1.0,1.0
2025-09-11,1.0,1.0,1.0,1.0,1.0
2025-09-12,1.0,1.0,1.0,1.0,1.0
2025-09-15,1.0,1.0,1.0,1.0,1.0
2025-09-16,1.0,1.0,1.0,1.0,1.0
2025-09-17,1.0,1.0,1.0,1.0,1.0
2025-09-18,1.0,1.0,1.0,1.0,1.0
2025-09-19,1.0,1.0,1.0,1.0,1.0
2025-09-22,1.0,1.0,1.0,1.0,1.0
2025-09-23,1.0,1.0,1.0,1.0,1.0
2025-09-24,1.0,1.0,1.0,1.0,1.0
2025-09-25,1.0,1.0,1.0,1.0,1.0
2025-09-26,1.0,1.0,1.0,1.0,1.0
2025-09-29,1.0,1.0,1.0,1.0,1.0
2025-09-30,1.0,1.0,1.0,1.0,1.0
2025-10-01,1.0,1.0,1.0,1.0,1.0
2025-10-02,1.0,1.0,1.0,1.0,1.0
2025-10-10,1.0,1.0,1.0,1.0,1.0
2025-10-13,1.0,1.0,1.0,1.0,1.0
2025-10-14,1.0,1.0,1.0,1.0,1.0
2025-10-15,1.0,1.0,1.0,1.0,1.0
2025-10-16,1.0,1.0,1.0,1.0,1.0
2025-10-17,1.0,1.0,1.0,1.0,1.0
2025-10-20,1.0,1.0,1.0,1.0,1.0
2025-10-21,1.0,1.0,1.0,1.0,1.0
2025-10-22,1.0,1.0,1.0,1.0,1.0
2025-10-23,1.0,1.0,1.0,1.0,1.0
2025-10-24,1.0,1.0,1.0,1.0,1.0
2025-10-27,1.0,1.0,1.0,1.0,1.0
2025-10-28,1.0,1.0,1.0,1.0,1.0
2025-10-29,1.0,1.0,1.0,1.0,1.0
2025-10-30,1.0,1.0,1.0,1.0,1.0
2025-10-31,1.0,1.0,1.0,1.0,1.0
2025-11-03,1.0,1.0,1.0,1.0,1.0
2025-11-04,1.0,1.0,1.0,1.0,1.0
2025-11-05,1.0,1.0,1.0,1.0,1.0
2025-11-06,1.0,1.0,1.0,1.0,1.0
2025-11-07,1.0,1.0,1.0,1.0,1.0
2025-11-10,1.0,1.0,1.0,1.0,1.0
2025-11-11,1.0,1.0,1.0,1.0,1.0
2025-11-12,1.0,1.0,1.0,1.0,1.0
2025-11-13,1.0,1.0,1.0,1.0,1.0
2025-11-14,1.0,1.0,1.0,1.0,1.0
2025-11-17,1.0,1.0,1.0,1.0,1.0
2025-11-18,1.0,1.0,1.0,1.0,1.0
2025-11-19,1.0,1.0,1.0,1.0,1.0
2025-11-20,1.0,1.0,1.0,1.0,1.0
2025-11-21,1.0,1.0,1.0,1.0,1.0
2025-11-24,1.0,1.0,1.0,1.0,1.0
2025-11-25,1.0,1.0,1.0,1.0,1.0
2025-11-26,1.0,1.0,1.0,1.0,1.0
2025-11-27,1.0,1.0,1.0,1.0,1.0
2025-11-28,1.0,1.0,1.0,1.0,1.0
2025-12-01,1.0,1.0,1.0,1.0,1.0
2025-12-02,1.0,1.0,1.0,1.0,1.0
2025-12-03,1.0,1.0,1.0,1.0,1.0
2025-12-04,1.0,1.0,1.0,1.0,1.0
2025-12-05,1.0,1.0,1.0,1.0,1.0
2025-12-08,1.0,1.0,1.0,1.0,1.0
2025-12-09,1.0,1.0,1.0,1.0,1.0
2025-12-10,1.0,1.0,1.0,1.0,1.0
2025-12-11,1.0,1.0,1.0,1.0,1.0
2025-12-12,1.0,1.0,1.0,1.0,1.0
2025-12-15,1.0,1.0,1.0,1.0,1.0
2025-12-16,0.9923887052621523,1.0,1.0,1.0,1.0
