Strategy,FinalNAV,CAGR,MDD,Sharpe,AvgTurnover,AvgGrossExposure
Daily Top20,0.9569765670170239,-0.042595650822497055,-0.04302343298297606,-1.6745921046368415,0.00469223467011309,0.02040816326530612
Weekly Top20,0.976608009309122,-0.02315704130079843,-0.02339199069087805,-1.0162612281598262,0.020000000000000004,0.020000000000000004
Weekly Buffer 20/25,0.976608009309122,-0.02315704130079843,-0.02339199069087805,-1.0162612281598262,0.020000000000000004,0.020000000000000004
