Strategy,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,CAGR_net_0.5pct,AnnualTurnover,StabilityScore
ScoreN30_P2.0_ROE0.2,0.1077574437883157,0.1077574437883157,-0.0269798601720352,-0.0269798601720352,0.0911574551499898,6.051489240609012,3.9939956360488105
ScoreN30_P2.0_ROE0.4,0.1077574437883157,0.1077574437883157,-0.0269798601720352,-0.0269798601720352,0.0911574551499898,6.051489240609012,3.9939956360488105
ScoreN30_P2.0_ROE0.6,0.1077574437883157,0.1077574437883157,-0.0269798601720352,-0.0269798601720352,0.0911574551499898,6.051489240609012,3.9939956360488105
ScoreN50_P2.0_ROE0.2,0.1077574437883157,0.1077574437883157,-0.0269798601720352,-0.0269798601720352,0.0911574551499898,6.051489240609012,3.9939956360488105
ScoreN50_P2.0_ROE0.4,0.1077574437883157,0.1077574437883157,-0.0269798601720352,-0.0269798601720352,0.0911574551499898,6.051489240609012,3.9939956360488105
Biweekly Score50 MADScale,,,,,0.0820998762489604,4.432483243810699,
Weekly Score50 MADScale,,,,,0.079531935731141,5.3589188999969855,
Weekly Buffer 20/25,,,,,0.0044556396007036,3.306454963230612,
Weekly Top20,,,,,0.0044556396007036,3.306454963230612,
Daily Top20,,,,,0.0025215087420553,3.433335665277163,
