StrategyConfig,N,score_power,regime_off_exposure,CAGR,MDD,Sharpe,AnnualTurnover,Trades,CAGR_net_0.5pct_cost
ScoreN30_P2.0_ROE0.2,30,2.0,0.2,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN30_P2.0_ROE0.4,30,2.0,0.4,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN30_P2.0_ROE0.6,30,2.0,0.6,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN50_P2.0_ROE0.2,50,2.0,0.2,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN50_P2.0_ROE0.4,50,2.0,0.4,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN50_P2.0_ROE0.6,50,2.0,0.6,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN70_P2.0_ROE0.2,70,2.0,0.2,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN70_P2.0_ROE0.4,70,2.0,0.4,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN70_P2.0_ROE0.6,70,2.0,0.6,0.10775744378831575,-0.02697986017203524,1.4303291061379666,6.051489240609012,21,0.09115745514998985
ScoreN30_P1.5_ROE0.2,30,1.5,0.2,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN30_P1.5_ROE0.4,30,1.5,0.4,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN30_P1.5_ROE0.6,30,1.5,0.6,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN50_P1.5_ROE0.2,50,1.5,0.2,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN50_P1.5_ROE0.4,50,1.5,0.4,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN50_P1.5_ROE0.6,50,1.5,0.6,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN70_P1.5_ROE0.2,70,1.5,0.2,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN70_P1.5_ROE0.4,70,1.5,0.4,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN70_P1.5_ROE0.6,70,1.5,0.6,0.09407275932804571,-0.023736514904877826,1.37960432600855,5.3589188999969855,21,0.07953193573114103
ScoreN30_P1.0_ROE0.2,30,1.0,0.2,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN30_P1.0_ROE0.4,30,1.0,0.4,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN30_P1.0_ROE0.6,30,1.0,0.6,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN50_P1.0_ROE0.2,50,1.0,0.2,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN50_P1.0_ROE0.4,50,1.0,0.4,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN50_P1.0_ROE0.6,50,1.0,0.6,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN70_P1.0_ROE0.2,70,1.0,0.2,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN70_P1.0_ROE0.4,70,1.0,0.4,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
ScoreN70_P1.0_ROE0.6,70,1.0,0.6,0.07494160662952365,-0.024079698471359046,1.2579925472846738,4.468941399179081,21,0.06301030292704635
