Strategy,FinalNAV,CAGR,MDD,Sharpe,AvgTurnover,AnnualTurnover,AvgGrossExposure,AvgHoldings,RebalanceCount,BuyTrades,SellTrades,FirstRebalance,LastRebalance
Daily Top20,1.8565965140013034,0.13000990124406808,-0.09842742366879698,1.5975495643040059,0.033893065090121396,8.2953643417754,0.1380707277767286,4.980629539951574,1239,603,563,2021-02-08,2026-03-03
Weekly Top20,1.7743514829282452,0.11994087754500482,-0.10956925448621668,1.5807520251172453,0.11004104507291061,6.890762505669632,0.2954577345926123,4.268765133171913,317,387,348,2021-02-19,2026-03-03
Weekly Buffer 20/25,1.7679486849668464,0.1191413963406438,-0.10266276219999204,1.5671814512907922,0.10112182695068611,6.232364064708646,0.28925702168431144,4.297820823244552,312,338,300,2021-02-19,2026-03-03
Weekly Score50 MADScale,1.0178157437353519,0.003494417133262262,-0.12702288829711472,0.10060621156872936,0.23380528573656753,39.99682618325235,0.11732914334321763,10.33091202582728,866,12741,12741,2021-02-19,2026-03-03
Biweekly Score50 MADScale,0.9989447533305823,-0.00020854090804611758,-0.10504690058856503,0.009388653002731232,0.14840540032955443,20.081381634506915,0.07420270016477723,5.162227602905569,685,6396,6396,2021-02-19,2026-03-03
