date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2025-03-31,1.0054986060534352,1.0,1.0,0.9822179953096367,0.9822179953096367
2025-04-01,1.0054986060534352,1.0,1.0,0.9881458878951953,0.9881458878951953
2025-04-02,1.0054986060534352,1.0,1.0,0.9858559138224952,0.9858559138224952
2025-04-03,1.0054986060534352,1.0,1.0,0.9814816150194233,0.9814816150194233
2025-04-04,1.0054986060534352,1.0,1.0,0.9776867476390292,0.9776867476390292
2025-04-07,1.0054986060534352,1.0,1.0,0.9604479673731602,0.9604479673731602
2025-04-08,1.0054986060534352,1.0,1.0,0.9648690946552965,0.9648690946552965
2025-04-09,1.0054986060534352,1.0,1.0,0.9574557492334957,0.9574557492334957
2025-04-10,1.0054986060534352,1.0,1.0,0.9770995893693977,0.9770995893693977
2025-04-11,1.0054986060534352,1.0,1.0,0.9771501202057764,0.9771501202057764
2025-04-14,1.0054986060534352,1.0,1.0,0.980283722608656,0.980283722608656
2025-04-15,1.0054986060534352,1.0,1.0,0.9839664406940117,0.9839664406940117
2025-04-16,1.0054986060534352,1.0,1.0,0.9803597873950984,0.9803597873950984
2025-04-17,1.0054986060534352,1.0,1.0,0.9825076188579055,0.9825076188579055
2025-04-18,1.0054986060534352,1.0,1.0,0.9855766529942678,0.9855766529942678
2025-04-21,1.0054986060534352,1.0,1.0,0.986304959659033,0.986304959659033
2025-04-22,1.0054986060534352,1.0,1.0,0.9855036787741379,0.9855036787741379
2025-04-23,1.0054986060534352,1.0,1.0,0.9921425799277767,0.9921425799277767
2025-04-24,1.0054986060534352,1.0,1.0,0.9945168581758131,0.9945168581758131
2025-04-25,1.0054986060534352,1.0,1.0,0.9974810928241571,0.9974810928241571
2025-04-28,1.0054986060534352,1.0,1.0,0.9974990128747631,0.9974990128747631
2025-04-29,1.0054986060534352,1.0,1.0,0.9976833441504251,0.9976833441504251
2025-04-30,1.0054986060534352,1.0,1.0,0.99700555949918,0.99700555949918
2025-05-02,1.0054986060534352,1.0,1.0,0.9974532050441635,0.9974532050441635
2025-05-07,1.0054986060534352,1.0,1.0,0.9988391691804162,0.9988391691804162
2025-05-08,1.0054986060534352,1.0,1.0,1.0001552112193426,1.0001552112193426
2025-05-09,1.0054986060534352,1.0,1.0,0.9999937388327322,0.9999937388327322
2025-05-12,1.0054986060534352,1.0,1.0,1.0059189892920277,1.0059189892920277
2025-05-13,1.0054986060534352,1.0,1.0,1.0072741735242405,1.0072741735242405
2025-05-14,1.0054986060534352,1.0,1.0,1.0119674713479745,1.0119674713479745
2025-05-15,1.0054986060534352,1.0,1.0,1.0088593053552815,1.0088593053552815
2025-05-16,1.0054986060534352,1.0,1.0,1.0102450238365104,1.0102450238365104
2025-05-19,1.0054986060534352,1.0,1.0,1.0051328175229557,1.0051328175229557
2025-05-20,1.0054986060534352,1.0,1.0,1.0072139316896234,1.0072139316896234
2025-05-21,1.0054986060534352,1.0,1.0,1.0101295161468093,1.0101295161468093
2025-05-22,1.0054986060534352,1.0,1.0,1.006390270136685,1.006390270136685
2025-05-23,1.0054986060534352,1.0,1.0,1.0080871338218724,1.0080871338218724
2025-05-26,1.0054986060534352,1.0,1.0,1.0137642710167485,1.0137642710167485
2025-05-27,1.0054986060534352,1.0,1.0,1.013768490521056,1.013768490521056
2025-05-28,1.0054986060534352,1.0,1.0,1.0185993131434325,1.0185993131434325
2025-05-29,1.033690521402278,1.0,1.0,1.0520826802413614,1.0520826802413614
2025-05-30,1.0292125251895727,1.0,1.0,1.0465935992042539,1.0465935992042539
2025-06-02,1.0215583240689479,0.9918364296566837,0.9918364296566837,1.0418159466809627,1.0418159466809627
2025-06-04,1.060397737399757,1.0297278203184912,1.0297278203184912,1.0799589379497472,1.0799589379497472
2025-06-05,1.0777228116039195,1.0463564241111247,1.0463564241111247,1.092692488978053,1.092692488978053
2025-06-09,1.0997708524637404,1.0670014335872144,1.0670014335872144,1.1133387365579082,1.1133387365579082
2025-06-10,1.0972487316770891,1.0656630058070824,1.0656630058070824,1.1130011311409482,1.1130011311409482
2025-06-11,1.1131672999824789,1.081595589364259,1.081595589364259,1.129143347452702,1.129143347452702
2025-06-12,1.1218334221235158,1.0905512907879829,1.0905512907879829,1.1361067297084642,1.1361067297084642
2025-06-13,1.1087514012229889,1.0780955193261883,1.0780955193261883,1.123545116801918,1.123545116801918
2025-06-16,1.1262227972641072,1.0949384016345685,1.0952470908230416,1.1386661945522198,1.1386661945522198
2025-06-17,1.126630922554005,1.0959944886911825,1.0946045439280705,1.1445777193040583,1.1445777193040583
2025-06-18,1.1262719052614858,1.0942538881613435,1.0941488239326287,1.1478341307187763,1.1478341307187763
2025-06-19,1.1296128881897907,1.095491847918082,1.0948446562177931,1.14832975036547,1.14832975036547
2025-06-20,1.1311278964251983,1.0970205360240604,1.0968671948502673,1.1548403670440544,1.1548403670440544
2025-06-23,1.13214287860768,1.0979120716658086,1.0954693086084482,1.1502904725896312,1.1502904725896312
2025-06-24,1.1638262983822982,1.1272691919289495,1.126191872501219,1.1780048951533832,1.1780048951533832
2025-06-25,1.171484338643112,1.1360536678940123,1.1336764489344242,1.1830656283306065,1.1830656283306065
2025-06-26,1.1595124185155645,1.1243907010152183,1.1223060530455327,1.170269136762086,1.170269136762086
2025-06-27,1.152356397965832,1.11838030913345,1.1162686385179217,1.1626470915296276,1.1626470915296276
2025-06-30,1.1620566525467617,1.1276637575827468,1.1259176568815383,1.1699893462558244,1.1699893462558244
2025-07-01,1.1766075889433365,1.140583629455809,1.137571317015197,1.183734786313769,1.183734786313769
2025-07-02,1.1674367748292573,1.1362905051368217,1.1319586208596204,1.1749194208659157,1.1749194208659157
2025-07-03,1.1733225809802874,1.1399554439988386,1.137184371082773,1.1858209873211738,1.1858209873211738
2025-07-04,1.150176513193976,1.1198526514812523,1.1163556630749283,1.163482229375558,1.163482229375558
2025-07-07,1.1573969498799566,1.1268237189370862,1.1223251406202783,1.168381342142133,1.168381342142133
2025-07-08,1.1870484321177988,1.1492226034878945,1.1500751642119713,1.1894090995882256,1.1894090995882256
2025-07-09,1.2138681507992932,1.168564708224065,1.1806179917442847,1.210022486738069,1.210022486738069
2025-07-10,1.2461174169241145,1.1940508499241955,1.2108696332488418,1.2290697118929401,1.2290697118929401
2025-07-11,1.2508464424987689,1.198380864978527,1.2163641510386949,1.2326596990240448,1.2326596990240448
2025-07-14,1.274555322339715,1.2209207941560873,1.2347810765441871,1.2505986167203826,1.2505986167203826
2025-07-15,1.2748290545505536,1.2196908717449186,1.2382331013789707,1.2529855030756432,1.2529855030756432
2025-07-16,1.254807735294855,1.201548674348983,1.2228870374546592,1.2388327578858456,1.2388327578858456
2025-07-17,1.2503053831636555,1.1961415575663137,1.2163913096712193,1.2372346016603424,1.2372346016603424
2025-07-18,1.2391309198079228,1.1854205383139869,1.2047654457236314,1.227668618750829,1.227668618750829
2025-07-21,1.2341004553961403,1.1805422133439576,1.2007528252370117,1.224406658227469,1.224406658227469
2025-07-22,1.229843809467022,1.1764702999234493,1.194851260679322,1.2167996682158342,1.2167996682158342
2025-07-23,1.2256922459361939,1.1724989084714068,1.190873441766137,1.2140160873342536,1.2140160873342536
2025-07-24,1.2154459815670446,1.1626973177143725,1.1808618031905922,1.2057951346420765,1.2057951346420765
2025-07-25,1.2144669152324716,1.1617607414959832,1.179613345914327,1.205482560459338,1.205482560459338
2025-07-28,1.1998946754322553,1.1478209166203783,1.165094526211446,1.195035713398993,1.195035713398993
2025-07-29,1.2040358823732198,1.1517824009441422,1.169149026848654,1.2000442025132212,1.2000442025132212
2025-07-30,1.2032689258170788,1.151048729235031,1.1687045413993904,1.2096000874951005,1.2096000874951005
2025-07-31,1.2000052247010573,1.147926668204785,1.1657546457562067,1.2082749366690284,1.2082749366690284
2025-08-01,1.1504761189602748,1.100547056714891,1.1192705895837094,1.160361917466058,1.160361917466058
2025-08-04,1.1556545369307758,1.105500738553176,1.1242037725786507,1.1716258116364928,1.1716258116364928
