Track,TotalBranches,Survivors,RetiredMainline,Killed,Exploratory,Cosmetic,SurvivorRate,KilledRate
aggressive,30,1,9,20,17,3,0.03333333333333333,0.6666666666666666
operational,4,1,3,0,0,0,0.25,0.0
