SPYRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,19,0.0008192022723207534,3,3,-0.03165156207832945,-0.030832359806008694
UP,42,0.004536980747088778,13,4,0.07120185387122173,0.07573883461831049
