KOSPIRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,29,0.0013921157850727576,7,4,-0.00635356108034585,-0.004961445295273092
UP,32,0.005179583649522282,9,3,0.08041723295103383,0.08559681660055611
