SPYRegime,KOSPIRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,DOWN,15,-1.8122107715405392e-05,2,2,-0.04365452462937537,-0.04367264673709078
DOWN,UP,4,0.003959168697456349,1,1,0.013359547488092774,0.017318716185549123
UP,DOWN,14,0.0029030849559172176,5,2,0.03361175700790007,0.03651484196381728
UP,UP,28,0.0053539286426745585,8,2,0.08999690230288256,0.0953508309455571
