SignalDate,NextDate,Market,AssetType,Symbol,Name,Sector,MomentumScore,FlowScore,MAD63,TargetWeight,NextMonthReturn,Contribution
2020-01-31,2020-02-28,US,STOCK,AMD,AMD,Information Technology,0.12196486528243039,0.2389963926812498,0.01562756915200536,0.16666666666666666,-0.03234043527156749,-0.005390072545261249
2020-01-31,2020-02-28,US,STOCK,AAPL,Apple,Information Technology,0.10491982403005387,0.23728642370330402,0.007971569956251034,0.16666666666666666,-0.11470142326068244,-0.019116903876780406
2020-01-31,2020-02-28,US,STOCK,LRCX,Lam Research,Information Technology,0.08144606888509218,0.1594577555338585,0.010131158267175921,0.16666666666666666,-0.01602899914653788,-0.0026714998577563134
2020-01-31,2020-02-28,US,STOCK,NOW,ServiceNow,Information Technology,0.08083586610341259,0.14442089871209465,0.007637744169294192,0.16666666666666666,-0.03589275448917428,-0.005982125748195713
2020-01-31,2020-02-28,US,STOCK,NVDA,Nvidia,Information Technology,0.0779194299498002,0.13416128702604457,0.009304239583840523,0.16666666666666666,0.14296639313501225,0.023827732189168706
2020-01-31,2020-02-28,US,STOCK,MSFT,Microsoft,Information Technology,0.0683698273519137,0.14940575926382493,0.0047426036915134695,0.16666666666666666,-0.04568805297718481,-0.007614675496197468
2020-02-28,2020-03-31,US,STOCK,TSLA,Tesla,Consumer Discretionary,0.2965962527347638,0.8031980391309936,0.018796481740233295,0.25,-0.2155570713684315,-0.053889267842107874
2020-02-28,2020-03-31,KR,STOCK,083450,GST,Information Technology,0.19119998563992696,-0.04152904468654766,0.02149831976548222,0.25,-0.16129032258064513,-0.04032258064516128
2020-02-28,2020-03-31,US,STOCK,NVDA,Nvidia,Information Technology,0.1121413171380988,0.3251250850645043,0.012013454113250166,0.25,-0.023956783774304102,-0.005989195943576026
2020-02-28,2020-03-31,US,STOCK,NOW,ServiceNow,Information Technology,0.0518484282257799,0.10124160011351135,0.008548724383526496,0.25,-0.12116287138870707,-0.030290717847176768
2020-03-31,2020-05-29,US,STOCK,NVDA,Nvidia,Information Technology,0.0691125280760192,0.19290633425804174,0.024001167855091543,0.25,0.3468137344813482,0.08670343362033706
2020-03-31,2020-05-29,US,STOCK,BIIB,Biogen,Health Care,0.048365403170795775,0.13585097392656637,0.014223988793125253,0.25,-0.029363450286192694,-0.0073408625715481735
2020-03-31,2020-05-29,US,STOCK,GILD,Gilead,Health Care,0.036224682493857865,0.1514944849721289,0.012482685850343178,0.25,0.0410648919834502,0.01026622299586255
