SignalDate,AssetKey,TargetWeight
2020-01-31,US:STOCK:AAPL,0.16000000000000003
2020-01-31,US:STOCK:AMD,0.16000000000000003
2020-01-31,US:STOCK:LRCX,0.16000000000000003
2020-01-31,US:STOCK:NOW,0.16000000000000003
2020-01-31,US:STOCK:NVDA,0.16000000000000003
2020-02-28,US:STOCK:NOW,0.15000000000000002
2020-02-28,US:STOCK:NVDA,0.15000000000000002
2020-02-28,US:STOCK:TSLA,0.15000000000000002
2020-02-28,KR:STOCK:083450,0.15000000000000002
2020-03-31,US:STOCK:BIIB,0.1875
2020-03-31,US:STOCK:GILD,0.1875
2020-03-31,US:STOCK:LLY,0.1875
2020-03-31,US:STOCK:NVDA,0.1875
2020-05-29,US:STOCK:AAPL,0.16000000000000003
2020-05-29,US:STOCK:AMD,0.16000000000000003
2020-05-29,US:STOCK:NOW,0.16000000000000003
2020-05-29,US:STOCK:NVDA,0.16000000000000003
2020-05-29,US:STOCK:TSLA,0.16000000000000003
2020-06-30,US:STOCK:TSLA,0.1875
2020-06-30,KR:STOCK:007810,0.1875
2020-06-30,KR:STOCK:174900,0.1875
2020-06-30,KR:STOCK:083450,0.1875
2020-07-31,US:STOCK:AAPL,0.16000000000000003
2020-07-31,US:STOCK:AMD,0.16000000000000003
2020-07-31,US:STOCK:LRCX,0.16000000000000003
2020-07-31,US:STOCK:NVDA,0.16000000000000003
2020-07-31,US:STOCK:TSLA,0.16000000000000003
2020-08-31,US:STOCK:AAPL,0.13333333333333333
2020-08-31,US:STOCK:AMD,0.13333333333333333
2020-08-31,US:STOCK:CRM,0.13333333333333333
2020-08-31,US:STOCK:NVDA,0.13333333333333333
2020-08-31,US:STOCK:TSLA,0.13333333333333333
2020-08-31,KR:ETF:069500,0.13333333333333333
2020-10-30,US:STOCK:DE,0.2
2020-10-30,US:STOCK:FDX,0.2
2020-10-30,US:STOCK:GM,0.2
2020-10-30,US:STOCK:NOW,0.2
2020-10-30,US:STOCK:QCOM,0.2
2020-11-30,US:STOCK:FCX,0.1875
2020-11-30,US:STOCK:TSLA,0.1875
2020-11-30,KR:ETF:069500,0.1875
2020-11-30,KR:STOCK:053610,0.1875
2021-01-29,US:STOCK:AMAT,0.13333333333333333
2021-01-29,US:STOCK:AVGO,0.13333333333333333
2021-01-29,US:STOCK:DD,0.13333333333333333
2021-01-29,US:STOCK:MU,0.13333333333333333
2021-01-29,US:STOCK:QCOM,0.13333333333333333
2021-01-29,KR:ETF:069500,0.13333333333333333
2021-02-26,US:STOCK:FCX,0.1875
2021-02-26,KR:ETF:069500,0.1875
2021-02-26,KR:STOCK:319400,0.1875
2021-02-26,KR:STOCK:099320,0.1875
2021-03-31,US:STOCK:AMAT,0.2
2021-03-31,US:STOCK:COF,0.2
2021-03-31,US:STOCK:DE,0.2
2021-03-31,US:STOCK:GE,0.2
2021-03-31,US:STOCK:LRCX,0.2
