SignalDate,Ticker,R1M,R3M,R6M,R12M,Rank3M
2016-01-29,TLT,0.05573097801579219,0.043460359334735355,0.052327613266407,-0.05583847287017174,1
2016-01-29,IEF,0.033336231812159056,0.0242556634960005,0.0346214977464272,0.005651640928339585,2
2016-01-29,LQD,0.0012281961688125342,-0.011122219279786183,-0.001944673666932295,-0.047093079805745064,3
2016-01-29,GLD,0.054109973519699484,-0.021500512698090057,0.01925089714277628,-0.1336573544584032,4
2016-01-29,VNQ,-0.03436624050649484,-0.022839605703131594,-0.001953103217739116,-0.07430453412970472,5
2016-01-29,HYG,-0.016008532757400995,-0.059683864221155125,-0.07267147627532033,-0.07194531093934875,6
2016-01-29,SPY,-0.04978663276475248,-0.06279541110255782,-0.06942508528748681,-0.008686290383000728,7
2016-01-29,EFA,-0.0551772624423188,-0.08415544622930626,-0.13604113164921072,-0.07036527948854976,8
2016-01-29,EEM,-0.050326165232987385,-0.10965325195223652,-0.163620997017367,-0.19842623823639993,9
2016-01-29,PDBC,-0.04996784572083679,-0.15977324104779778,-0.19664132829230396,-0.26729242762984595,10
2016-02-29,GLD,0.10930343875618376,0.1640502504031407,0.09024076201400022,0.021349824805041884,1
2016-02-29,TLT,0.030859517226278,0.08507571663317326,0.09233391701491556,0.036948845030639665,2
2016-02-29,IEF,0.014860106655749217,0.04394105314495289,0.04916636017363829,0.046461547444662576,3
2016-02-29,LQD,0.010516843924183172,0.0008200107227074316,0.016967217174974403,-0.02319708062914294,4
2016-02-29,VNQ,-0.003636726904068799,-0.02026174327130892,0.061177291260387845,-0.04249046287700786,5
2016-02-29,HYG,0.014968288359560766,-0.021177864311856753,-0.04423232197315996,-0.07861126622320058,6
2016-02-29,SPY,-0.0008261318985508526,-0.06698036309550903,-0.00984350771305642,-0.06221315891669499,7
2016-02-29,EEM,-0.00817772714095688,-0.09407180924021863,-0.09005617376968211,-0.23854568329331471,8
2016-02-29,PDBC,-0.0013484828918534086,-0.10777750084598758,-0.18086263689729587,-0.29610248140062545,9
2016-02-29,EFA,-0.03334527919557606,-0.1079800939704545,-0.09786544681482379,-0.15492340150196948,10
2016-03-31,GLD,-0.008428860461434318,0.15947171743718203,0.10087964362460067,0.03501667780489326,1
2016-03-31,TLT,-0.0009332142959465051,0.08729469956323932,0.07026351240749484,0.024788397079188007,2
2016-03-31,EEM,0.1296174765376903,0.06399535545915502,0.06112722935186965,-0.1267732439235022,3
2016-03-31,VNQ,0.10465397178916658,0.06281190325023212,0.1374316498588155,0.039710135503826516,4
2016-03-31,LQD,0.03614577251699336,0.04832872979062297,0.041336025230835904,0.010139350721953377,5
2016-03-31,IEF,-0.0006616897408978639,0.047997809876689335,0.03217231063967341,0.03689239357448204,6
2016-03-31,HYG,0.02547047037045047,0.024158006881340066,0.010318582134992926,-0.04610239866922439,7
2016-03-31,SPY,0.06726608341625573,0.013292693304534309,0.08443078657465142,0.016838174823245344,8
2016-03-31,PDBC,0.04051286705471835,-0.012812322582907876,-0.11993163091736436,-0.2197469202877953,9
2016-03-31,EFA,0.06582129265600556,-0.026566911203552812,0.00596644878887953,-0.08624571356372879,10
2016-04-29,GLD,0.051088083708025867,0.156147779842561,0.13129000982118755,0.08971534498686862,1
2016-04-29,PDBC,0.09993533559604395,0.14295353516737674,-0.03965985551335316,-0.19744314370213667,2
2016-04-29,EEM,0.004087533190612502,0.1249593625493044,0.0016039101316580595,-0.17943518194269303,3
2016-04-29,VNQ,-0.023507842828827785,0.07476305366164926,0.05021588929172349,0.07832369803944661,4
2016-04-29,HYG,0.031225570844828354,0.07332020697403596,0.009260309475175532,-0.024813821869241526,5
2016-04-29,SPY,0.003941419643391564,0.07058744920663385,0.0033594702124646325,0.010904888580084426,6
2016-04-29,LQD,0.015545943190778067,0.06332002309062679,0.05149354462922573,0.03816812626975774,7
2016-04-29,EFA,0.02221836730486748,0.053172349854980094,-0.03545783920343293,-0.0988063346286766,8
2016-04-29,TLT,-0.007365071905812148,0.022312235212258003,0.06674229230687923,0.05331854469019093,9
2016-04-29,IEF,-0.0015612935153779262,0.012605138074948785,0.037166547558415974,0.04186902832927575,10
2016-05-31,PDBC,0.00825958125177828,0.15394993450283123,0.02958009446072496,-0.16143261746008764,1
2016-05-31,VNQ,0.022485168465479877,0.10294037491875585,0.08059288019859068,0.10591319873590166,2
2016-05-31,EEM,-0.03692938137695445,0.09234823502508638,-0.010410939764082916,-0.17591333884141436,3
2016-05-31,SPY,0.017011213344629628,0.08969967637166176,0.016711196383229154,0.015051739458456836,4
2016-05-31,EFA,-0.0008556372767237752,0.08856988300637236,-0.028973995254062412,-0.10133371459078055,5
2016-05-31,HYG,0.0017012430273795065,0.05929042101403725,0.03685691221095255,-0.02661451669975945,6
2016-05-31,LQD,-0.005124916353164255,0.04686092396794561,0.04771936115078268,0.04454967152529021,7
2016-05-31,TLT,0.008054207902318922,-0.00030398587324409476,0.08474586894391667,0.0876050961103163,8
2016-05-31,IEF,-0.000991922728846073,-0.003211668890349628,0.04058826014120842,0.04518644038847963,9
2016-05-31,GLD,-0.061382967032933,-0.021746475424204936,0.13873626024020913,0.017177906316249603,10
2016-06-30,PDBC,0.043885304994094376,0.1576900367759282,0.1428573385737364,-0.12745749926180472,1
2016-06-30,GLD,0.08969501879279118,0.07505951952454426,0.24650110745031517,0.12547831386922303,2
2016-06-30,TLT,0.06934179565213472,0.0700152844128823,0.163421947193779,0.21238992084074582,3
2016-06-30,VNQ,0.06928443069587642,0.06762570090282494,0.13468530313539429,0.2404477757953385,4
2016-06-30,HYG,0.017931122424228896,0.05150242585388498,0.07690462869340897,0.009897168878302942,5
2016-06-30,LQD,0.030943584963157633,0.04160493874490734,0.09194438237808833,0.09754053115893702,6
2016-06-30,IEF,0.030876010846101032,0.028245557969090784,0.07759909276704136,0.09532155403669362,7
2016-06-30,SPY,0.0034762357369702013,0.024568986422804695,0.038188267728660685,0.0396987025747646,8
2016-06-30,EEM,0.04559111375219338,0.011094137075361,0.07579946578016639,-0.11232602935916003,9
2016-06-30,EFA,-0.024194127695558176,-0.0033668011976809575,-0.029844266892774973,-0.09485163292813525,10
2016-07-29,VNQ,0.042630264530353346,0.13993631057560108,0.22516143013402723,0.22276856340258266,1
2016-07-29,TLT,0.02102529631967065,0.10061880950714941,0.1251760752639084,0.18405385378693162,2
