Variant_baseline,SignalDate,NextDate,Market,Sector,Symbol,Contribution_baseline,Variant_candidate,Contribution_candidate,ContributionDelta
rule_sector_cap2_breadth_it_us5_risk_on,2020-01-31,2020-02-28,US,Financials,MA,-0.01626254702339147,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.01626254702339147,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-01-31,2020-02-28,US,Health Care,BMY,-0.01235905220650686,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.01235905220650686,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-01-31,2020-02-28,US,Health Care,LLY,-0.01841343711994623,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.01841343711994623,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-01-31,2020-02-28,US,Information Technology,AAPL,-0.02294028465213649,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.02294028465213649,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-01-31,2020-02-28,US,Information Technology,AMD,-0.006468087054313499,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.006468087054313499,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-02-28,2020-03-31,KR,Information Technology,083450,-0.024193548387096774,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.024193548387096774,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-02-28,2020-03-31,US,Consumer Discretionary,TSLA,-0.032333560705264726,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.032333560705264726,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-02-28,2020-03-31,US,Information Technology,NOW,-0.018174430708306065,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.018174430708306065,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-02-28,2020-03-31,US,Information Technology,NVDA,-0.0035935175661456157,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.0035935175661456157,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-03-31,2020-05-29,KR,Materials,008350,0.05289433771486349,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.05289433771486349,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-03-31,2020-05-29,US,Health Care,BIIB,-0.00550564692866113,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.00550564692866113,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-03-31,2020-05-29,US,Health Care,GILD,0.007699667246896913,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.007699667246896913,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-03-31,2020-05-29,US,Information Technology,NVDA,0.06502757521525279,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.06502757521525279,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-05-29,2020-06-30,US,Consumer Discretionary,AMZN,0.025913345706782255,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.025913345706782255,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-05-29,2020-06-30,US,Consumer Discretionary,TSLA,0.05863712656541638,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.05863712656541638,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-05-29,2020-06-30,US,Health Care,LLY,0.014684552914013516,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.014684552914013516,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-05-29,2020-06-30,US,Information Technology,AMD,-0.004423786779124139,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.004423786779124139,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-05-29,2020-06-30,US,Information Technology,NVDA,0.014119361072984527,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.014119361072984527,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-06-30,2020-07-31,KR,Health Care,174900,-0.08910642570281124,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.08910642570281124,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-06-30,2020-07-31,KR,Information Technology,007810,0.04796511627906977,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.04796511627906977,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-06-30,2020-07-31,KR,Information Technology,083450,0.019946808510638306,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.019946808510638306,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-06-30,2020-07-31,US,Consumer Discretionary,TSLA,0.06093954082465372,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.06093954082465372,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-07-31,2020-08-31,US,Consumer Discretionary,AMZN,0.018092206738596416,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.018092206738596416,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-07-31,2020-08-31,US,Consumer Discretionary,TSLA,0.14829042505574233,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.14829042505574233,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-07-31,2020-08-31,US,Health Care,TMO,0.007261749932284634,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.007261749932284634,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-07-31,2020-08-31,US,Information Technology,AMD,0.03458607603480375,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.03458607603480375,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-07-31,2020-08-31,US,Information Technology,NVDA,0.051998406413725023,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.051998406413725023,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,KR,ETF,069500,-0.0032796660703637475,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.0032796660703637475,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,US,Consumer Discretionary,AMZN,-0.02003356412352932,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.02003356412352932,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,US,Consumer Discretionary,TSLA,-0.03688393813184748,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.03688393813184748,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,US,Health Care,TMO,0.01724304498155608,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.01724304498155608,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,US,Information Technology,AMD,-0.028499594126626282,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.028499594126626282,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-08-31,2020-10-30,US,Information Technology,NVDA,-0.010427190076741089,rule_sector_cap2_breadth_it_us5_top2_risk_on,-0.010427190076741089,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-10-30,2020-11-30,US,Consumer Discretionary,GM,0.0539241498895656,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.0539241498895656,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-10-30,2020-11-30,US,Industrials,DE,0.03161436298842118,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.03161436298842118,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-10-30,2020-11-30,US,Industrials,FDX,0.02089647102143153,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.02089647102143153,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-10-30,2020-11-30,US,Information Technology,NOW,0.014864247699179512,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.014864247699179512,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-10-30,2020-11-30,US,Information Technology,QCOM,0.038602425854336354,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.038602425854336354,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-11-30,2021-01-29,KR,ETF,069500,0.034813319878910176,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.034813319878910176,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-11-30,2021-01-29,KR,Information Technology,053610,0.04022277227722773,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.04022277227722773,0.0
rule_sector_cap2_breadth_it_us5_risk_on,2020-11-30,2021-01-29,US,Consumer Discretionary,TSLA,0.07463333843034964,rule_sector_cap2_breadth_it_us5_top2_risk_on,0.07463333843034964,0.0
