StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount,RunId,RunStartedAt
Weekly ForeignFlow v2,0.5,0.1036053569146748,0.0890446557759461,0.0145607011387287,5.320389402872864,415,-0.1378511794581516,0.9065533743093568,1.9967380889121231,0.0823114619909324,1.840463009562154,524,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid Flow50 RS50,0.5,0.101900554348391,0.0855006587826083,0.0163998955657826,6.003532288750847,362,-0.1358506269830833,0.9843956332206084,1.9446666930555256,0.0628386826089648,3.0525918470055355,887,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Top20,0.5,0.1023067288722103,0.0850983144028394,0.0172084144693709,6.296425807150634,456,-0.1317154431806603,0.8998165589594994,1.9388310427005728,0.0338710781399747,9.264720684448918,1507,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Buffer 20/25,0.5,0.1022791432289567,0.085070395270643,0.0172087479583136,6.2966975955323,456,-0.1317154431806603,0.8995036173400798,1.9384266705222333,0.0338725402020707,9.264720684448918,1507,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Daily Top20,0.5,0.1021039174981404,0.0848978199758707,0.0172060975222696,6.296775407136952,456,-0.1317154431806595,0.8977526020336652,1.9359287832360157,0.0256902611403038,9.269753397081027,1987,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly ETF RiskBudget,0.5,0.0871216436706363,0.0832972631917401,0.0038243804788962,1.4122544030936492,6,-0.136538322565946,1.138507427460117,1.9128961302948135,0.0103142615820591,2.197282335178661,1110,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly ETF RiskBudget,0.5,0.0861549067605833,0.0823842045458924,0.0037707022146908,1.3929740641843538,6,-0.1365383225659456,1.1279496601329362,1.8998647571608505,0.01129252896386,2.192752893809764,1000,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid RS50 RB50,0.5,0.0933168357906606,0.0823140816927832,0.0110027540978774,4.049464788861241,158,-0.1099274109479055,1.0717214051986703,1.8988671741943564,0.0268400824045282,3.2310015098137894,1180,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RangeOsc,0.5,0.0984241250972084,0.0802258050176494,0.018198320079559,6.686675174628832,310,-0.1645148915497819,0.8852731095132899,1.8693685729966567,0.0433659032269973,4.264720684448918,1250,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RegimeState,0.5,0.0984241250972084,0.0802258050176494,0.018198320079559,6.686675174628832,310,-0.1645148915497819,0.8852731095132899,1.8693685729966567,0.0433659032269973,4.264720684448918,1250,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 Rotation,0.5,0.0978126809372663,0.0792786245857182,0.0185340563515481,6.814762439240693,310,-0.1703363628365899,0.8703539839230022,1.856121850155815,0.0441966030556423,4.264720684448918,1250,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RangeOsc,0.5,0.0923224888591174,0.0753942804658256,0.0169282083932917,6.251023551012223,274,-0.1618141149625911,0.8440756404755395,1.8026543441065104,0.0442968958289589,4.066431806743835,1144,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RegimeState,0.5,0.0923224888591174,0.0753942804658256,0.0169282083932917,6.251023551012223,274,-0.1618141149625911,0.8440756404755395,1.8026543441065104,0.0442968958289589,4.066431806743835,1144,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 Rotation,0.5,0.0916597755374948,0.0744687217038686,0.0171910538336261,6.352534485469878,274,-0.1670477653699855,0.8297621628973856,1.790115167662705,0.0450162371100269,4.066431806743835,1144,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 MADScale,0.5,0.0988430785858445,0.0705461213285569,0.0282969572572875,10.440704402196369,488,-0.1937095956839434,0.7406863865192453,1.7378176681355697,0.0585342003855019,9.188726723704075,1446,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 MADScale,0.5,0.0978692295055108,0.0694970922397959,0.0283721372657148,10.477714457052787,488,-0.1937095956839454,0.7303635281666059,1.72406070021738,0.0563639588510897,9.204831404126825,1507,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
