Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
CRM,CRM,Salesforce,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
CSCO,CSCO,Cisco,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
CVS,CVS,CVS Health,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
CVX,CVX,Chevron,Energy,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DD,DD,DuPont,Materials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DE,DE,Deere & Company,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DHR,DHR,Danaher,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DIS,DIS,Disney,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DOW,DOW,Dow,Materials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,1766,2019-03-20,2026-03-27
DUK,DUK,Duke Energy,Utilities,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
DVN,DVN,Devon Energy,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
EBAY,EBAY,eBay Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
EMC,EMC,EMC Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,720,2023-05-15,2026-03-27
EMR,EMR,Emerson,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
EXC,EXC,Exelon,Utilities,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
F,F,Ford,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
FB,FB,Facebook,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,190,2025-06-26,2026-03-27
FCX,FCX,Freeport-McMoran,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
