Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
ISRG,ISRG,Intuitive Surgical,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
JNJ,JNJ,Johnson & Johnson,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
JPM,JPM,JPMorgan Chase,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
KO,KO,Coca-Cola Company (The),Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LIN,LIN,Linde plc,Materials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LLY,LLY,Eli Lilly and Company,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LMT,LMT,Lockheed Martin,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LOW,LOW,Lowe's,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LRCX,LRCX,Lam Research,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MA,MA,Mastercard,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MCD,MCD,McDonald's,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MDT,MDT,Medtronic,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
META,META,Meta Platforms,Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MMM,MMM,3M,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MO,MO,Altria,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MRK,MRK,Merck & Co.,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MS,MS,Morgan Stanley,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MSFT,MSFT,Microsoft,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
MU,MU,Micron Technology,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
NEE,NEE,NextEra Energy,Utilities,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
NFLX,NFLX,"Netflix, Inc.",Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
NKE,NKE,"Nike, Inc.",Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
NOW,NOW,ServiceNow,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
