Strategy,CAGR,MDD,Sharpe,AnnualTurnover
US ETF RiskBudget,0.0054353307758912,-0.046389685351275,0.3616280948627779,0.6299969822367147
US Residual Sector Rotation,0.0568721890434302,-0.2574841018741478,0.4541535208789566,1.872611464968153
US Stock Mom12_1,0.1805930989755733,-0.3202164983680431,0.9870802831743236,4.406654867256638
