Strategy,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,CAGR_net_0.5pct,AnnualTurnover,StabilityScore,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,ResearchOnly,OperationalCandidate
Weekly ETF RiskBudget,0.1026147387477471,0.0988034354749152,-0.0429491085763419,-0.075531499577153,0.0832972631917401,1.4122544030936492,0.8955582849164679,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,1.0,0.0,1.0,0,1
Weekly Hybrid RS50 RB50,0.0796954750998424,0.0685159322304251,-0.0460826495076628,-0.078247383974332,0.0823140816927832,4.049464788861241,0.40061652328130515,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.5,0.0862,0.9138,0,1
Weekly Score50 RegimeState,0.060884036100369,0.0335345458083764,-0.0640130542099751,-0.0809575599165997,0.0802258050176494,6.686675174628832,0.21097210317879223,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.0,0.1724,0.8276,0,1
