Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
FDX,FDX,FedEx,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
FOXA,FOXA,"Twenty-First Century Fox, Inc",,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GD,GD,General Dynamics,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GE,GE,General Electric Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GILD,GILD,Gilead Sciences,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GM,GM,General Motors,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GOOG,GOOG,Google Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
GS,GS,Goldman Sachs,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
HAL,HAL,Halliburton,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
HD,HD,Home Depot,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
HON,HON,Honeywell,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
HPQ,HPQ,Hewlett Packard Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
IBM,IBM,International Business Machines,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
INTC,INTC,Intel Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
JNJ,JNJ,Johnson & Johnson Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
JPM,JPM,JP Morgan Chase & Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
KO,KO,The Coca-Cola Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
LLY,LLY,Eli Lilly and Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
LMT,LMT,Lockheed-Martin,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
LOW,LOW,Lowe's,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MA,MA,Mastercard Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MCD,MCD,McDonald's Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MDLZ,MDLZ,Mondelēz International,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MDT,MDT,Medtronic Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MET,MET,Metlife Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MMM,MMM,3M Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MO,MO,Altria Group,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MON,MON,Monsanto,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MRK,MRK,Merck & Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MS,MS,Morgan Stanley,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
MSFT,MSFT,Microsoft,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
NKE,NKE,Nike,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
NOV,NOV,National Oilwell Varco,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
NSC,NSC,Norfolk Southern Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
ORCL,ORCL,Oracle Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
OXY,OXY,Occidental Petroleum Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
PEP,PEP,Pepsico Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
PFE,PFE,Pfizer Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
PG,PG,Procter & Gamble Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
PM,PM,Phillip Morris International,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
QCOM,QCOM,Qualcomm Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
RTN,RTN,Raytheon Co (NEW),,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
SBUX,SBUX,Starbucks Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
SLB,SLB,Schlumberger,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
