Strategy,CAGR,MDD,Sharpe,AnnualTurnover,AvgStockSleeve,AvgEtfSleeve,RotationSignalAvg,FinalNAV,RunId,RunStartedAt
Weekly Score50 Rotation StockOnly,0.1053757745635415,-0.1448665425609143,1.0118154414243303,9.783702030725992,0.3095588235294118,0.6904411764705882,-1.0,2.2540503436515897,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
Weekly Score50 Rotation,0.1047129770371542,-0.1219469714894256,1.1274942093329845,7.841099695404113,0.1731483659560549,0.8268516340439451,-0.0250692917498502,2.2431095185966194,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
Weekly Score50 Rotation ETFOnly,0.0652451477037279,-0.0841759752766032,1.0140659510302878,2.74975187455802,0.0,1.0,1.0,1.669851235663241,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
