TradeDate,AsOfDate,Strategy,Code,AssetType,TargetWeight,CurrentPrice,TargetNotionalKRW,OrderShares,OrderNotionalKRW,Action
2026-03-30,2026-03-27,Weekly ETF RiskBudget,360750,ETF,0.3141591565185399,24420.0,942477.47,38,927960.0,BUY
2026-03-30,2026-03-27,Weekly ETF RiskBudget,379800,ETF,0.3047725500456273,22320.0,914317.65,40,892800.0,BUY
2026-03-30,2026-03-27,Weekly ETF RiskBudget,0000D0,ETF,0.2621551726679273,9900.0,786465.52,79,782100.0,BUY
2026-03-30,2026-03-27,Weekly ETF RiskBudget,0000Z0,ETF,0.0478459759198924,18820.0,143537.93,7,131740.0,BUY
2026-03-30,2026-03-27,Weekly ETF RiskBudget,069500,ETF,0.0404784442025605,81225.0,121435.33,1,81225.0,BUY
2026-03-30,2026-03-27,Weekly ETF RiskBudget,0000J0,ETF,0.0305887006454525,36250.0,91766.1,2,72500.0,BUY
