KOSPIRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,29,0.0009725367523594921,5,5,-0.004195924792373339,-0.003223388040013847
UP,32,0.0030383383749507165,8,4,0.09098423344620603,0.09402257182115675
