SPYRegime,Months,AvgDelta,PositiveMonths,NegativeMonths,AvgBaselineReturn,AvgCandidateReturn
DOWN,19,0.0006582777925808151,3,3,-0.02818328497172321,-0.027525007179142403
UP,42,0.0026886456132812547,10,6,0.07917371585148827,0.08186236146476952
