RunId,RunStartedAt,Strategy,AsOfDate,Code,PrevWeight,NewWeight,WeightChange,Action,EstimatedPrice,Notes
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,000050,0.0,0.0170928054304276,0.0170928054304276,BUY,9450.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,0000D0,0.0,0.1270794073440053,0.1270794073440053,BUY,9810.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,0000J0,0.0,0.0687700576208053,0.0687700576208053,BUY,37700.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,0000Z0,0.0,0.0765393572008966,0.0765393572008966,BUY,17850.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,000490,0.0,0.0157032670880167,0.0157032670880167,BUY,9740.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,000650,0.0,0.0141088154095867,0.0141088154095867,BUY,228000.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,001200,0.0,0.018747040499488,0.018747040499488,BUY,4960.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,003230,0.0,0.0220009726233219,0.0220009726233219,BUY,1200000.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,003620,0.0,0.0227004904638924,0.0227004904638924,BUY,3530.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,006400,0.0,0.0204804047187908,0.0204804047187908,BUY,397500.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,007810,0.0,0.0173860328253142,0.0173860328253142,BUY,63700.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,008350,0.0,0.0191914698103545,0.0191914698103545,BUY,1373.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,024060,0.0,0.0150056437620896,0.0150056437620896,BUY,19750.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,042940,0.0,0.0221800288365346,0.0221800288365346,BUY,8010.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,049630,0.0,0.0183130078279963,0.0183130078279963,BUY,3015.0,initial_snapshot
20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,ScoreN70_P1.0_ROE0.6,2026-03-24,053610,0.0,0.0169762409323781,0.0169762409323781,BUY,54200.0,initial_snapshot
