date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale,Weekly Score50 RegimeState,Weekly Score50 Rotation,Weekly Score50 RangeOsc,Biweekly Score50 RegimeState,Biweekly Score50 Rotation,Biweekly Score50 RangeOsc
2022-05-26,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1770463321047966,1.1789096355747424,1.0488512916666501,1.0472930974733932,1.0488512916666501,1.0826002479982326,1.084830488316046,1.0826002479982326
2022-05-27,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1797524946690479,1.1816200820842884,1.053778653935011,1.052213139555055,1.053778653935011,1.0876861583232589,1.0899268760100556,1.0876861583232589
2022-05-30,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1867127385181446,1.1885913442307638,1.0622546097648669,1.0606765033375336,1.0622546097648669,1.0964348455359554,1.098693586195669,1.0964348455359554
2022-05-31,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1870510719040206,1.1889302132096362,1.0594300123881646,1.0578561022384787,1.0594300123881646,1.0935193609054754,1.095772095441155,1.0935193609054754
2022-06-02,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1859049828223909,1.187782309830893,1.0572754907717645,1.055704781421943,1.0572754907717645,1.0912955131066842,1.0935436663437443,1.0912955131066842
2022-06-03,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1880450067606692,1.1899257214982022,1.0611305480706041,1.0595541115715237,1.0611305480706041,1.0952746148353376,1.0975309653299916,1.0952746148353376
2022-06-07,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1818699211130228,1.1837408604847095,1.0576285637383547,1.0560573298563607,1.0576285637383547,1.0916599469251185,1.0939088509240564,1.0916599469251185
2022-06-08,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1857105335171156,1.1875875527059039,1.0610423336009365,1.0594660281550141,1.0610423336009365,1.0951835618829333,1.0974397248014567,1.0951835618829333
2022-06-09,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.181506634575195,1.1833769988522163,1.058026447088061,1.0564546221027045,1.058026447088061,1.0920706329932854,1.094320383037316,1.0920706329932854
2022-06-10,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1772060742782704,1.1790696306253865,1.0538362584559333,1.0522706584975632,1.0538362584559333,1.0877456163886032,1.0899864565636173,1.0877456163886032
2022-06-13,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1565141202941756,1.1583449205903131,1.038278041052597,1.0367355546892691,1.038278041052597,1.0716867812104551,1.0738945389418455,1.0716867812104551
2022-06-14,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1529285629809125,1.1547536872206354,1.035911907198959,1.0343729360108145,1.035911907198959,1.0692445121136847,1.0714472385816731,1.0692445121136847
2022-06-15,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1408041853229007,1.1426101162697644,1.0316057126943619,1.0300731388738187,1.0316057126943619,1.0647997569080179,1.0669933268362024,1.0647997569080179
2022-06-16,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1414383161097792,1.1432452509067577,1.031569934445761,1.0300374137780905,1.031569934445761,1.0647628274203813,1.0669563212709625,1.0647628274203813
2022-06-17,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1374043681241663,1.139204917047391,1.024270552613756,1.0227488760518948,1.024270552613756,1.0572285729037039,1.0594065456067343,1.0572285729037039
2022-06-20,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.127711432973724,1.1294966376584024,1.0231713014085366,1.0216512579159753,1.0231713014085366,1.0560939510208514,1.0582695863149691,1.0560939510208514
2022-06-21,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1310923340451715,1.1328828908086308,1.0266455546180582,1.025120349706314,1.0266455546180582,1.0596799955022,1.0618630183255546,1.0596799955022
2022-06-22,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.120326898171596,1.1221004128922132,1.024954631122576,1.0234319382801715,1.024954631122576,1.057934663051261,1.0601140903546558,1.057934663051261
2022-06-23,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1104604832492246,1.1122183791070501,1.0283998759025408,1.0268720647364493,1.0283998759025408,1.0614907656969257,1.0636775188470577,1.0614907656969257
2022-06-24,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1258805086614037,1.127662814932034,1.0356538518173066,1.0341152640013334,1.0356538518173066,1.0689781532672074,1.0711803310153527,1.0689781532672074
2022-06-27,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1352702598455717,1.1370674304044517,1.041157130813163,1.039610367217226,1.041157130813163,1.0746585116297835,1.0768723913558873,1.0746585116297835
2022-06-28,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1366029948044463,1.1384022751270677,1.0415538150873307,1.0400064621694016,1.0415538150873307,1.07506796003968,1.0772826832612046,1.07506796003968
2022-06-29,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1308382507666486,1.1326284053078322,1.0363109296853437,1.0347713657015125,1.0363109296853437,1.0696563739726046,1.0718599489079057,1.0696563739726046
2022-06-30,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.123020484955777,1.1247982637138114,1.0310430674355808,1.029511329491946,1.0310430674355808,1.0642190073760953,1.0664113809152869,1.0642190073760953
2022-07-01,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1177356183200944,1.1195050309585701,1.027694664727207,1.026167901236765,1.027694664727207,1.0607628628956671,1.06294811650968,1.0607628628956671
2022-07-04,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1172745462945286,1.1190432290406613,1.032145533719216,1.0306121579298968,1.032145533719216,1.065356947789151,1.0675516655736843,1.065356947789151
2022-07-05,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1269804098594596,1.1287644573102484,1.0371241727481924,1.0355834005944056,1.0371241727481924,1.070495784810459,1.0727010889970672,1.070495784810459
2022-07-06,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1231695647295992,1.1249475794858712,1.0342901274013006,1.0327535655612523,1.0342901274013006,1.0675705482018376,1.0697698261745816,1.0675705482018376
2022-07-07,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1283148919716028,1.130101051951935,1.0379372813672412,1.0363953012432314,1.0379372813672412,1.071335056878507,1.0735420900305455,1.071335056878507
2022-07-08,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.129462384741283,1.1312503612408136,1.0408050242936726,1.0392587837941345,1.0408050242936726,1.0742950753558798,1.0765082063751246,1.0742950753558798
2022-07-11,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.128745188427902,1.1305320295818282,1.0396634666908866,1.0381189221118685,1.0396634666908866,1.0731167857797506,1.0753274894312541,1.0731167857797506
2022-07-12,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1210442985592863,1.122818948948565,1.0386604814462996,1.0371174269219696,1.0386604814462996,1.0720815274136166,1.074290098352744,1.0720815274136166
2022-07-13,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1234845143241818,1.1252630276561315,1.036861855725521,1.035321473275084,1.036861855725521,1.0702250271958624,1.0724297736008246,1.0702250271958624
2022-07-14,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.123090207815901,1.1248680969475409,1.034169370842886,1.0326329884011662,1.034169370842886,1.0674459060517771,1.0696449272520434,1.0674459060517771
2022-07-15,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1242533252949647,1.126033055680237,1.039037124121597,1.0374935100494702,1.039037124121597,1.0724702893448108,1.0746796611636114,1.0724702893448108
2022-07-18,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1335021565436707,1.1352965281362504,1.0458720585080672,1.0443182903224288,1.0458720585080672,1.0795251518602453,1.0817490572419632,1.0795251518602453
2022-07-19,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.133427221906872,1.1352214748754306,1.041210847286787,1.0396640038885958,1.041210847286787,1.074713956541878,1.0769279504887928,1.074713956541878
2022-07-20,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1423443322429006,1.1441527012935349,1.0512804065228492,1.0497186035885875,1.0512804065228492,1.0851075246413855,1.0873429301431787,1.0851075246413855
2022-07-21,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1449824577872791,1.1467950030783443,1.0522049558754523,1.050641779412413,1.0522049558754523,1.0860618232787302,1.0882991947095912,1.0860618232787302
2022-07-22,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1434876363995883,1.1452978153387072,1.0544355371990768,1.05286904694037,1.0544355371990768,1.0883641781628997,1.0906062926230533,1.0883641781628997
2022-07-25,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.143340167128324,1.1451501126186845,1.052740351737548,1.0511763798798421,1.052740351737548,1.086614446608355,1.088852956486055,1.086614446608355
2022-07-26,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1448654669191705,1.1466778270098024,1.051862528300765,1.0502998605548934,1.051862528300765,1.0857083773896672,1.0879450206946355,1.0857083773896672
2022-07-27,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.148153203446712,1.1499707681335545,1.0530898074917803,1.0515253164757044,1.0530898074917803,1.0869751468231537,1.089214399771219,1.0869751468231537
2022-07-28,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1504643430348813,1.1522855663325164,1.0545516856058321,1.0529850227947586,1.0545516856058321,1.0884840638845046,1.0907264253185254,1.0884840638845046
2022-07-29,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1560824946796446,1.1579126116980865,1.0619022931625506,1.0603247101437194,1.0619022931625506,1.0960711924193762,1.0983291839255185,1.0960711924193762
2022-08-01,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1597502158216162,1.1615861389645445,1.0643517774746334,1.062770555453532,1.0643517774746334,1.0985994939477224,1.1008626939507355,1.0985994939477224
2022-08-02,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.158491183426649,1.1603251134794446,1.0631529395747692,1.0615734985709284,1.0631529395747692,1.0973620809626647,1.0996227317991374,1.0973620809626647
2022-08-03,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1608105763918228,1.1626481781207814,1.0652113653666018,1.0636288663247517,1.0652113653666018,1.099486740855282,1.1017517686556089,1.099486740855282
2022-08-04,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.163859401075048,1.1657018291948262,1.0693977706490267,1.0678090522008095,1.0693977706490267,1.1038078523731718,1.1060817819977342,1.1038078523731718
2022-08-05,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1632863057227862,1.1651278266135716,1.0676305038479823,1.0660444108862273,1.0676305038479823,1.1019837201131546,1.1042538918840505,1.1019837201131546
2022-08-08,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1654883961165163,1.1673334029895948,1.068765889385908,1.0671781096729744,1.068765889385908,1.1031556390254904,1.105428225040067,1.1031556390254904
2022-08-09,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1652328069816935,1.1670774092486753,1.0682067316475488,1.0666197826303945,1.0682067316475488,1.1025784892321617,1.1048498862734855,1.1025784892321617
2022-08-10,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1605227982708615,1.1623599444374886,1.0665674442473692,1.064982930587952,1.0665674442473692,1.1008864543745274,1.1031543656930596,1.1008864543745274
2022-08-11,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1674381410476382,1.169286234431754,1.074909175634103,1.073312269333792,1.074909175634103,1.109496598195452,1.1117822470767893,1.109496598195452
2022-08-12,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1685854548195391,1.1704353644394938,1.0743128268997635,1.07271680654691,1.0743128268997635,1.1088810607090431,1.111165441535508,1.1088810607090431
2022-08-16,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1750671285180847,1.1769272988429618,1.0828432053728043,1.08123451212122,1.0828432053728043,1.1177077774599704,1.1200103420062415,1.1177077774599704
2022-08-17,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.17437268111031,1.1762317521018562,1.0846405332826268,1.083029169885203,1.0846405332826268,1.1195739100922772,1.121880319016233,1.1195739100922772
2022-08-18,1.0290177347273413,1.0177445867900707,1.0380616693788645,1.1736387522544205,1.1754966614121913,1.083578965675278,1.0819691793636572,1.083578965675278,1.1184797245863376,1.1207838794034473,1.1184797245863376
