StrategyName,WindowCount,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,WinRate_vs_Benchmark,CAGRStd,RunId,RunStartedAt
Weekly Buffer 20/25,3,0.3081721475749563,0.0267106688380396,-0.0917309575951534,-0.1608384649290222,1.0,0.2793594341183833,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Benchmark Weekly Top20,3,0.2980026068278913,0.0249145622162525,-0.0952994364361921,-0.1587286857052234,1.0,0.2731675992403576,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,3,0.2980026068278913,0.0198321591499179,-0.0952994364361916,-0.1587286857052234,0.0,0.2700630904816475,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,3,0.2980026068278913,0.0249145622162525,-0.0952994364361921,-0.1587286857052234,0.0,0.2731675992403576,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
ScoreN70_P1.0_ROE0.6,3,0.2190642655066235,0.1078173471593526,-0.0976916413327673,-0.1690912032927476,0.6666666666666666,0.3385613354606966,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,3,0.205795091813812,0.0598587112588753,-0.0793336816382652,-0.1689803115367256,0.6666666666666666,0.3730519059570961,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,3,0.205795091813812,0.0598587112588753,-0.0793336816382652,-0.1689803115367256,0.6666666666666666,0.3730519059570961,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,3,0.064401873222716,0.0273632213646197,-0.0809848084236005,-0.093370975345041,0.6666666666666666,0.3798403556234825,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,3,0.064401873222716,0.0273632213646197,-0.0809848084236005,-0.093370975345041,0.6666666666666666,0.3798403556234825,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,3,0.064401873222716,0.0262480065757337,-0.0809848084236005,-0.0946438102111332,0.6666666666666666,0.3840829679769836,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,3,0.0643973112654887,0.0249034809712931,-0.0809575599165997,-0.0919957583994103,0.3333333333333333,0.3809922638637875,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,3,0.0643973112654887,0.0249034809712931,-0.0809575599165997,-0.0919957583994103,0.3333333333333333,0.3809922638637875,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,3,0.0643973112654887,0.0233486052489526,-0.0809575599165997,-0.0934722696121653,0.3333333333333333,0.3853368544820956,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
