event_id,event_title,event_type,first_eval_date,last_eval_date,first_trade_date,last_trade_date,rebalance_rows,unique_names
EVT001,US CHIPS and Science Act signed,policy_regulation,2022-08-18,2022-08-18,2022-08-19,2022-08-19,1,1
EVT002,US tightened advanced AI chip export controls to China,tariff_trade,2023-10-18,2023-11-15,2023-10-19,2023-11-16,9,3
