AsOfDate,Market,AssetType,Symbol,Name,Sector,CurrentPrice,MedianDailyValue60D,AvgDailyValue20D,RelVolume20D60D,R1M,R3M,R6M,R12M,MA50,MA200,TrendOK,MAD63,DistanceTo52WHigh,FlowScore,FlowAcceleration,MomentumScore,KRPriceSource,KRFlowSource,KRUniverseSource,CountryLabel,CountryAligned,SectorAligned,LiquidityOK,FlowAligned,StructureOK,WatchGrade,InitialPositionCap,Theme,TrendState,TenbaggerScore
2026-04-10,KR,STOCK,001200,유진투자증권,Financials,4895.0,6350688975.0,5048339533.25,0.35289401608957915,-0.004069175991861629,0.380818053596615,0.3319727891156463,1.002044989775051,4744.8,3870.625,1,0.019437682949982493,-0.1828046744574291,0.05271815451451012,0.9900000000000002,0.10335810389257907,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,0,1,1,1,Starter,0.04,Financials,LONG_UPTREND,0.37774804820235736
2026-03-27,US,STOCK,OXY,Occidental Petroleum,nan,65.31999969482422,620069208.5638046,1270662327.4693298,1.4244291541761174,0.276106199306845,0.6407534575054985,0.40479744191562306,0.3414006315138529,50.91304542541504,44.94493606567383,1,0.016187728184732908,0.0,0.31573486796222605,0.4244291541761174,0.10929165899761902,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.37219392902106807
2026-03-27,US,STOCK,INTC,Intel,Information Technology,43.130001068115234,4053934793.4776306,3838622326.9862175,0.795717512003722,-0.05125380693536474,0.19275445935052882,0.2689025871816526,0.8415884256026127,46.4518000793457,34.78555002212524,0,0.02451583019125625,-0.20600144862989023,0.008275691545400162,0.0,0.074141009423276,,,,US,0,0,1,0,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,0.35927083500686113
2026-03-27,US,STOCK,AMD,AMD,Information Technology,201.9900054931641,7135037350.680542,6721609020.251694,0.8836554678001176,-0.0082972665130997,-0.06068632905696003,0.2524958153526673,0.833106461727984,213.92239990234376,195.16319984436035,0,0.017747458725519305,-0.2358415020842075,-0.04664558631211796,0.0,0.05562617123292226,,,,US,0,0,1,0,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,0.35551227920142786
2026-03-27,US,STOCK,FDX,FedEx,Industrials,343.9700012207031,595211386.1022949,778740961.7512512,1.080523464096724,-0.10915047758876462,0.1671663784444284,0.46829694846498326,0.4429959630532798,353.29007751464843,272.57594650268555,0,0.009843633744095248,-0.11098504280380539,0.09575669491587484,0.08052346409672406,0.06435202379143162,,,,US,0,1,1,0,1,Exit Watch,0.0,Industrials,TREND_WEAKENING,0.3453945428832819
2026-03-27,US,STOCK,FCX,Freeport-McMoran,nan,56.2400016784668,1200528939.7424698,1149574801.9135857,0.937409691816083,-0.17753723402415544,0.08590402062005276,0.6010854556008478,0.37436506723146556,61.296999816894534,48.16504846572876,0,0.019798133077207902,-0.18279567091168603,0.05356635573292142,0.0,0.061365602376933046,,,,US,0,0,1,0,1,Exit Watch,0.0,nan,TREND_WEAKENING,0.3400540901236603
2026-03-27,US,STOCK,SLB,Schlumberger,nan,53.5,890467659.3523026,1058263020.4571724,1.044597080049939,0.03903667228610308,0.41731607725116726,0.5681019528173041,0.2997493863477929,49.09906524658203,38.86438828468323,1,0.014634798405361527,0.0,0.17910203169472486,0.0445970800499389,0.09084565518683016,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.33730283546948353
2026-03-27,US,STOCK,MRK,Merck,Health Care,119.62999725341795,1203018651.2908936,1191294565.5083847,0.8499495741827555,0.010193324628655853,0.13213783652454159,0.5663161000842885,0.4070563411448773,115.76858459472656,94.21394996643066,1,0.009405673273955029,-0.027547263376746955,0.10722656830922268,0.0,0.07324652853433891,,,,US,0,0,1,0,1,Watch,0.02,Health Care,LONG_UPTREND,0.3342567758040047
2026-03-27,US,STOCK,COP,ConocoPhillips,Energy,133.8000030517578,975088697.474289,1492225162.4477005,1.2513108632782537,0.20867214760914599,0.46885894252646354,0.4057679064644406,0.34091958336410855,111.93512344360352,96.40479972839356,1,0.011668785498862078,0.0,0.2295414292579019,0.2513108632782537,0.09307660022298053,,,,US,0,1,1,0,1,Watch,0.02,Energy,LONG_UPTREND,0.3334684653204155
2026-03-27,US,STOCK,NOV,National Oilwell Varco,nan,19.8799991607666,88537014.88113403,96286811.0615921,1.0273712784694848,-0.010597481566254396,0.27969498532712045,0.5032492762719902,0.3387797720122918,18.988860359191893,15.155317783355713,1,0.01481936631455738,-0.03169956023103171,0.12904794967933617,0.02737127846948484,0.07512993414223518,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.31817305112182187
2026-03-27,US,STOCK,DD,DuPont,Materials,45.2599983215332,191299394.46163177,198351936.3087654,0.9224391330531396,-0.09748522709647511,0.10644308092416987,0.4642388970519089,0.44325735817677137,46.447320709228514,37.201409797668454,0,0.011357416865819037,-0.11815212842892486,0.05572962018637151,0.0,0.060089754902220724,,,,US,0,1,1,0,1,Exit Watch,0.0,Materials,TREND_WEAKENING,0.3143490023159647
2026-03-27,US,STOCK,JNJ,Johnson & Johnson,Health Care,240.4499969482422,1872725998.5664368,1870162297.0370483,0.8769055889636785,-0.012404009764321322,0.16338558189061203,0.368722509930278,0.5282548779758074,236.2700927734375,194.82745506286622,1,0.006148556190283094,-0.032627939692668084,0.07780870207259231,0.0,0.06570065029714106,,,,US,0,0,1,0,1,Watch,0.02,Health Care,LONG_UPTREND,0.3071492294225705
2026-03-27,US,STOCK,CVX,Chevron,Energy,211.1499938964844,2047770805.9082031,3020199060.6341553,1.181455260582956,0.1465572854999253,0.4167144947724206,0.3414436271247596,0.31364026872906203,184.47756103515624,158.68600105285645,1,0.008912545697503882,0.0,0.1868447738438487,0.18145526058295602,0.07987173685373788,,,,US,0,1,1,0,1,Watch,0.02,Energy,LONG_UPTREND,0.28452436871285824
